Environmental package	Structured comment name	Example	Requirement	schemasheets cardinality	cardinality	recommended	github ticket
FoodFarmEnvironment	food_contain_wrap	Plastic shrink-pack [FOODON:03490137]	X				
FoodFarmEnvironment	food_harvest_proc	hand-picked	X				
FoodFarmEnvironment	food_pack_medium	vacuum-packed [FOODON:03480027]	X				
FoodFarmEnvironment	food_preserv_proc	food slow freezing [FOODON:03470128]	X				
FoodFarmEnvironment	food_prod_char	wild caught	X				
FoodFarmEnvironment	food_product_type	"shrimp (peeled, deep-frozen) [FOODON:03317171]"	M				
FoodFarmEnvironment	food_quality_date	best by 2020-05-24	X				
FoodFarmEnvironment	food_source	giant tiger prawn [FOODON:03412612]	X				#252
FoodFarmEnvironment	food_trav_mode	train travel [GENEPIO:0001060]	X				
FoodFarmEnvironment	food_trav_vehic	aircraft [ENVO:01001488]|car [ENVO:01000605]	X				
FoodFarmEnvironment	food_treat_proc	gluten removal process [FOODON:03460750]	X				
FoodFarmEnvironment	genetic_mod	aox1A transgenic	X				
FoodFarmEnvironment	geo_loc_name	"USA: Maryland, Bethesda"	M				
FoodFarmEnvironment	growth_habit	spreading	X				
FoodFarmEnvironment	growth_medium	LB broth	X				
FoodFarmEnvironment	host_age	10 days	X				
FoodFarmEnvironment	host_disease_stat	downy mildew	C				
FoodFarmEnvironment	host_dry_mass	500 gram	X				
FoodFarmEnvironment	host_genotype	Ts	X				 
FoodFarmEnvironment	host_height	1 meter	X				
FoodFarmEnvironment	host_length	1 meter	X				
FoodFarmEnvironment	host_phenotype	seed pod; green [PATO:0000320]	X				
FoodFarmEnvironment	host_subspecf_genlin	"serovar:Newport, variety:glabrum, cultivar: Red Delicious"	X				#227 & #256
FoodFarmEnvironment	host_taxid	4530	X				
FoodFarmEnvironment	host_tot_mass	2500 gram	X				
FoodFarmEnvironment	humidity	30% relative humidity	X				
FoodFarmEnvironment	ifsac_category	Plants:Produce:Vegetables:Herbs:Dried Herbs	M				
FoodFarmEnvironment	intended_consumer	9606 o rsenior as food consumer [FOODON:03510254] 	X				
FoodFarmEnvironment	lat_lon	50.586825 6.408977	M				
FoodFarmEnvironment	library_prep_kit	Illumina DNA Prep	X				
FoodFarmEnvironment	lot_number	"1239ABC01A, split Cornish hens"	X				
FoodFarmEnvironment	mechanical_damage	pruning;bark	X				
FoodFarmEnvironment	misc_param	Bicarbonate ion concentration;2075 micromole per kilogram	X				
FoodFarmEnvironment	nucl_acid_ext	https://mobio.com/media/wysiwyg/pdfs/protocols/12888.pdf	X				
FoodFarmEnvironment	organism_count	total prokaryotes;3.5e7 colony forming units per milliliter;qPCR	X				
FoodFarmEnvironment	part_plant_animal	chuck [FOODON:03530021]	X				
FoodFarmEnvironment	perturbation	antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M	X				 
FoodFarmEnvironment	ph	7.2	X				
FoodFarmEnvironment	ph_meth	https://www.epa.gov/sites/production/files/2015-12/documents/9040c.pdf	X				
FoodFarmEnvironment	plant_growth_med	soil	X				
FoodFarmEnvironment	plant_part_maturity	ripe or mature [FOODON:03530052]	X				
FoodFarmEnvironment	plant_reprod_crop	seedling	X				
FoodFarmEnvironment	plant_water_method	drip irrigation process [AGRO:00000056]	C				
FoodFarmEnvironment	previous_land_use	fallow; 2018-05-11:T14:30Z	X				
FoodFarmEnvironment	prod_label_claims	free range	X				#298
FoodFarmEnvironment	project_name	Forest soil metagenome	M				
FoodFarmEnvironment	rel_location	furrow	X				
FoodFarmEnvironment	repository_name	FDA CFSAN Microbiology Laboratories	X				
FoodFarmEnvironment	root_cond	http://himedialabs.com/TD/PT158.pdf	X				
FoodFarmEnvironment	root_med_carbon	sucrose	X				
FoodFarmEnvironment	root_med_macronutr	KH2PO4;170 milligram per liter	X				
FoodFarmEnvironment	root_med_micronutr	H3BO3;6.2 milligram per liter	X				
FoodFarmEnvironment	root_med_ph	7.5	X				
FoodFarmEnvironment	salinity	25 practical salinity unit	X				
FoodFarmEnvironment	salinity_meth	PMID: 22895776	X				
FoodFarmEnvironment	samp_collect_device	"swab, biopsy, niskin bottle, push core, drag swab [GENEPIO:0002713]"	X				
FoodFarmEnvironment	samp_name	ISDsoil1	M				
FoodFarmEnvironment	samp_pooling	5uL of extracted genomic DNA from 5 leaves were pooled	X				
FoodFarmEnvironment	samp_purpose	field trial	X				
FoodFarmEnvironment	samp_size	5 liters	X				
FoodFarmEnvironment	samp_source_mat_cat	environmental (swab or sampling) [GENEPIO:0001732]	X				
FoodFarmEnvironment	samp_stor_dur	P1Y6M	X				
FoodFarmEnvironment	samp_stor_temp	-80 degree Celsius	X				
FoodFarmEnvironment	samp_type	built environment sample [GENEPIO:0001248]	M				 
FoodFarmEnvironment	samp_vol_we_dna_ext	1500 milliliter	X				
FoodFarmEnvironment	season	autumn [NCIT:C94733]	X				
FoodFarmEnvironment	season_humidity	25%	X				
FoodFarmEnvironment	season_precpt	75 millimeters	X				
FoodFarmEnvironment	season_temp	18 degree Celsius	X				
FoodFarmEnvironment	seq_meth	454 Genome Sequencer FLX [OBI:0000702]	M				
FoodFarmEnvironment	sequencing_kit	NextSeq 500/550 High Output Kit v2.5 (75 Cycles)	X				
FoodFarmEnvironment	sequencing_location	University of Maryland Genomics Resource Center	X				
FoodFarmEnvironment	serovar_or_serotype	Escherichia coli strain O157:H7 [NCIT:C86883]	X				
FoodFarmEnvironment	size_frac_low	0.2 micrometer	X				
FoodFarmEnvironment	size_frac_up	20 micrometer	X				
FoodFarmEnvironment	soil_conductivity	10 milliSiemens per centimeter	X				
FoodFarmEnvironment	soil_cover	bare soil [ENVO01001616]	X				
FoodFarmEnvironment	soil_ph	7.2	X				
FoodFarmEnvironment	soil_porosity	20%	X				
FoodFarmEnvironment	soil_temp	25 degrees Celsius	X				
FoodFarmEnvironment	soil_texture_class	silty clay loam	X				
FoodFarmEnvironment	soil_texture_meth	https://uwlab.soils.wisc.edu/wp-content/uploads/sites/17/2015/09/particle_size.pdf (hydrometer method)	X				
FoodFarmEnvironment	soil_type	plinthosol [ENVO:00002250]	X				
FoodFarmEnvironment	soil_type_meth	Frederick series; Weikert series	X				
FoodFarmEnvironment	solar_irradiance	1.36 kilowatts per square meter per day	X				
FoodFarmEnvironment	spikein_antibiotic	Tetracycline at 5 mg/ml	X				
FoodFarmEnvironment	spikein_count	total prokaryotes;3.5e7 colony forming units per milliliter;qPCR	X				maybe MIXS:0001335
FoodFarmEnvironment	spikein_growth_med	LB broth [MCO:0000036]	X				
FoodFarmEnvironment	spikein_metal	Cd at 20 ppm	X				
FoodFarmEnvironment	spikein_org	Listeria monocytogenes [NCIT:C86502]|28901	X				
FoodFarmEnvironment	spikein_serovar	Escherichia coli strain O157:H7 [NCIT:C86883]|83334	X				
FoodFarmEnvironment	spikein_strain	169963	X				
FoodFarmEnvironment	temp	25 degree Celsius	X				
FoodFarmEnvironment	tillage	chisel	X				
FoodFarmEnvironment	timepoint	P24H	X				
FoodFarmEnvironment	tot_nitro_cont_meth	https://currentprotocols.onlinelibrary.wiley.com/doi/abs/10.1002/0471142913.fab0102s00	X				
FoodFarmEnvironment	tot_nitro_content	35 milligrams Nitrogen per kilogram of soil	X				
FoodFarmEnvironment	tot_org_c_meth	https://www.epa.gov/sites/production/files/2015-12/documents/9060a.pdf	X				
FoodFarmEnvironment	tot_org_carb	2%	X				
FoodFarmEnvironment	turbidity	0.3 nephelometric turbidity units	X				
FoodFarmEnvironment	ventilation_rate	750 cubic meter per minute	X				
FoodFarmEnvironment	ventilation_type	Operable windows	X				
FoodFarmEnvironment	water_frequency	2 per day	X				
FoodFarmEnvironment	water_ph	7.2	X				
FoodFarmEnvironment	water_source_adjac	feedlot [ENVO:01000627]	X				
FoodFarmEnvironment	water_source_shared	no sharing	X				
FoodFarmEnvironment	wind_direction	0 degrees; Northwest	X				
FoodFarmEnvironment	wind_speed	1.6 kilometers per hour	X				
FoodFoodProductionFacility	air_temp	4 degree Celsius	X				
FoodFoodProductionFacility	area_samp_size	12 centimeter x 12 centimeter	X				
FoodFoodProductionFacility	avg_occup	6	X				
FoodFoodProductionFacility	bacterial_density	10 colony forming units per gram dry weight	X				
FoodFoodProductionFacility	biocide_used	Quaternary ammonium compound|SterBac	X				
FoodFoodProductionFacility	coll_site_geo_feat	grocery store [GENEPIO:0001020]	M				
FoodFoodProductionFacility	collection_date	2018-05-11T10:00:00+01:00	M				
FoodFoodProductionFacility	cult_isol_date	2018-05-11T10:00:00+01:00	X				
FoodFoodProductionFacility	cult_result	positive	X				
FoodFoodProductionFacility	cult_result_org	Listeria monocytogenes [NCIT:C86502]	X				
FoodFoodProductionFacility	cult_target	Listeria monocytogenes [NCIT:C86502]	X				
FoodFoodProductionFacility	dietary_claim_use	No preservatives [FOODON:03510113]	X				
FoodFoodProductionFacility	enrichment_protocol	BAM Chapter 4: Enumeration of Escherichia coli and the Coliform Bacteria	X				
FoodFoodProductionFacility	env_broad_scale	forest biome [ENVO:01000174]	M				
FoodFoodProductionFacility	env_local_scale	litter layer [ENVO:01000338]	M				
FoodFoodProductionFacility	env_medium	soil [ENVO:00001998]	M				
FoodFoodProductionFacility	env_monitoring_zone	Zone 1	X				
FoodFoodProductionFacility	experimental_factor	time series design [EFO:EFO_0001779]	X				
FoodFoodProductionFacility	facility_type	manufacturing-processing	X				
FoodFoodProductionFacility	food_additive	xanthan gum [FOODON_03413321]	X				
FoodFoodProductionFacility	food_allergen_label	food allergen labelling about crustaceans and products thereof [FOODON:03510215]	X				
FoodFoodProductionFacility	food_contact_surf	cellulose acetate [FOODON:03500034]	M				
FoodFoodProductionFacility	food_contain_wrap	Plastic shrink-pack [FOODON:03490137]	X				
FoodFoodProductionFacility	food_cooking_proc	food blanching [FOODON:03470175]	X				
FoodFoodProductionFacility	food_dis_point	"USA: Delmarva, Peninsula"	X				
FoodFoodProductionFacility	food_dis_point_city	Atlanta[GAZ:00004445]	X				
FoodFoodProductionFacility	food_ingredient	bean (whole) [FOODON:00002753]	X				
FoodFoodProductionFacility	food_name_status	protected geographic indication [FOODON:03530256]	X				
FoodFoodProductionFacility	food_origin	"USA: Delmarva, Peninsula"	X				
FoodFoodProductionFacility	food_pack_capacity	454 grams	X				
FoodFoodProductionFacility	food_pack_integrity	food packing medium compromised [FOODON:00002517]	X				
FoodFoodProductionFacility	food_pack_medium	vacuum-packed [FOODON:03480027]	X				
FoodFoodProductionFacility	food_preserv_proc	food slow freezing [FOODON:03470128]	X				
FoodFoodProductionFacility	food_prior_contact	processed in stainless steel container [FOODON:03530081]	X				
FoodFoodProductionFacility	food_prod	organic plant cultivation [FOODON:03530253]	X				
FoodFoodProductionFacility	food_prod_char	wild caught	X				
FoodFoodProductionFacility	food_prod_synonym	pinot gris	X				
FoodFoodProductionFacility	food_product_qual	raw [FOODON:03311126]	M				
FoodFoodProductionFacility	food_product_type	"shrimp (peeled, deep-frozen) [FOODON:03317171]"	M				
FoodFoodProductionFacility	food_quality_date	best by 2020-05-24	X				
FoodFoodProductionFacility	food_source	giant tiger prawn [FOODON:03412612]	X				#252
FoodFoodProductionFacility	food_trace_list	tropical tree fruits	X				
FoodFoodProductionFacility	food_trav_mode	train travel [GENEPIO:0001060]	X				
FoodFoodProductionFacility	food_trav_vehic	aircraft [ENVO:01001488]|car [ENVO:01000605]	X				
FoodFoodProductionFacility	food_treat_proc	gluten removal process [FOODON:03460750]	X				
FoodFoodProductionFacility	freq_clean	Daily	X				
FoodFoodProductionFacility	genetic_mod	aox1A transgenic	X				
FoodFoodProductionFacility	geo_loc_name	"USA: Maryland, Bethesda"	M				
FoodFoodProductionFacility	haccp_term	tetrodotoxic poisoning [FOODON:03530249]	X				
FoodFoodProductionFacility	hygienic_area	Low Hygiene Area	X				
FoodFoodProductionFacility	ifsac_category	Plants:Produce:Vegetables:Herbs:Dried Herbs	M				
FoodFoodProductionFacility	indoor_surf	wall	X				
FoodFoodProductionFacility	intended_consumer	9606 o rsenior as food consumer [FOODON:03510254] 	X				
FoodFoodProductionFacility	lat_lon	50.586825 6.408977	M				
FoodFoodProductionFacility	library_prep_kit	Illumina DNA Prep	X				
FoodFoodProductionFacility	lot_number	"1239ABC01A, split Cornish hens"	X				
FoodFoodProductionFacility	microb_cult_med	brain heart infusion agar [MICRO:0000566]	X				
FoodFoodProductionFacility	misc_param	Bicarbonate ion concentration;2075 micromole per kilogram	X				
FoodFoodProductionFacility	nucl_acid_ext	https://mobio.com/media/wysiwyg/pdfs/protocols/12888.pdf	X				
FoodFoodProductionFacility	nucl_acid_ext_kit	Qiagen PowerSoil Kit	X				
FoodFoodProductionFacility	num_samp_collect	116 samples	X				
FoodFoodProductionFacility	organism_count	total prokaryotes;3.5e7 colony forming units per milliliter;qPCR	X				
FoodFoodProductionFacility	part_plant_animal	chuck [FOODON:03530021]	X				
FoodFoodProductionFacility	pool_dna_extracts	"yes, 5"	X				
FoodFoodProductionFacility	prod_label_claims	free range	X				#298
FoodFoodProductionFacility	project_name	Forest soil metagenome	M				
FoodFoodProductionFacility	repository_name	FDA CFSAN Microbiology Laboratories	X				
FoodFoodProductionFacility	room_dim	4 meter x 4 meter x 4 meter	X				
FoodFoodProductionFacility	samp_collect_device	"biopsy, niskin bottle, push core"	X				
FoodFoodProductionFacility	samp_collect_method	environmental swab sampling	X				
FoodFoodProductionFacility	samp_floor	4th floor	X				
FoodFoodProductionFacility	samp_loc_condition	new	X				
FoodFoodProductionFacility	samp_name	ISDsoil1	M				
FoodFoodProductionFacility	samp_pooling	5uL of extracted genomic DNA from 5 leaves were pooled	X				
FoodFoodProductionFacility	samp_purpose	field trial	X				
FoodFoodProductionFacility	samp_rep_biol	6 replicates	X				
FoodFoodProductionFacility	samp_rep_tech	10 replicates	X				
FoodFoodProductionFacility	samp_room_id		X				
FoodFoodProductionFacility	samp_size	5 liters	X				
FoodFoodProductionFacility	samp_source_mat_cat	environmental swab specimen [OBI:0002613]	M				
FoodFoodProductionFacility	samp_stor_device	Whirl Pak sampling bag [GENEPIO:0002122]	M				
FoodFoodProductionFacility	samp_stor_dur	P1Y6M	X				
FoodFoodProductionFacility	samp_stor_loc	freezer 5	X				
FoodFoodProductionFacility	samp_stor_media	peptone water medium [MICRO:0000548]	M				
FoodFoodProductionFacility	samp_stor_temp	-80 degree Celsius	X				
FoodFoodProductionFacility	samp_surf_moisture	submerged	X				
FoodFoodProductionFacility	samp_transport_cont	cooler	X				
FoodFoodProductionFacility	samp_transport_dur	P10D	X				
FoodFoodProductionFacility	samp_transport_temp	4 degree Celsius	X				
FoodFoodProductionFacility	samp_type	built environment sample [GENEPIO:0001248]	M				#208
FoodFoodProductionFacility	samp_vol_we_dna_ext	1500 milliliter	X				
FoodFoodProductionFacility	seq_meth	454 Genome Sequencer FLX [OBI:0000702]	M				
FoodFoodProductionFacility	sequencing_kit	NextSeq 500/550 High Output Kit v2.5 (75 Cycles)	X				
FoodFoodProductionFacility	sequencing_location	University of Maryland Genomics Resource Center	X				
FoodFoodProductionFacility	spec_intended_cons	senior as food consumer [FOODON:03510254]	X				
FoodFoodProductionFacility	ster_meth_samp_room	ultraviolet radiation [ENVO:21001216]|infrared radiation [ENVO:21001214]	X				
FoodFoodProductionFacility	study_design	in vitro design [OBI:0001285]	X				
FoodFoodProductionFacility	study_inc_dur	P24H	X				
FoodFoodProductionFacility	study_inc_temp	37 degree Celsius	X				
FoodFoodProductionFacility	study_timecourse	2 days post inoculation	X				
FoodFoodProductionFacility	study_tmnt	"Factor A|spike-in|levels high, medium, low"	X				
FoodFoodProductionFacility	subspecf_gen_lin	serovar:Newport					#256
FoodFoodProductionFacility	surf_material	wood	X				
FoodFoodProductionFacility	timepoint	P24H	X				
FoodHumanFoods	bacterial_density	10 colony forming units per gram dry weight	X				
FoodHumanFoods	coll_site_geo_feat	grocery store [ENVO:01000984]	M				
FoodHumanFoods	collection_date	2018-05-11T10:00:00+01:00	M				
FoodHumanFoods	cons_food_stor_dur	P5D	X				
FoodHumanFoods	cons_food_stor_temp	4 degree Celsius	X				
FoodHumanFoods	cons_purch_date	11/30/19	X				
FoodHumanFoods	cons_qty_purchased	5 cans	X				
FoodHumanFoods	cult_isol_date	2018-05-11T10:00:00+01:00	X				
FoodHumanFoods	cult_result	positive	X				
FoodHumanFoods	cult_result_org	Listeria monocytogenes [NCIT:C86502]	X				
FoodHumanFoods	cult_target	Listeria monocytogenes [NCIT:C86502]	X				
FoodHumanFoods	dietary_claim_use	No preservatives [FOODON:03510113]	X				
FoodHumanFoods	enrichment_protocol	BAM Chapter 4: Enumeration of Escherichia coli and the Coliform Bacteria	X				
FoodHumanFoods	env_broad_scale	oceanic epipelagic zone biome [ENVO:01000033] for annotating a water sample from the photic zone in middle of the Atlantic Ocean	M				
FoodHumanFoods	env_local_scale	litter layer [ENVO:01000338]; Annotating a pooled sample taken from various vegetation layers in a forest consider: canopy [ENVO:00000047]|herb and fern layer [ENVO:01000337]|litter layer [ENVO:01000338]|understory [01000335]|shrub layer [ENVO:01000336].	M				
FoodHumanFoods	env_medium	"soil [ENVO:00001998]; Annotating a fish swimming in the upper 100 m of the Atlantic Ocean, consider: ocean water [ENVO:00002151]. Example: Annotating a duck on a pond consider: pond water [ENVO:00002228]|air [ENVO_00002005]"	M				
FoodHumanFoods	experimental_factor	time series design [EFO:0001779]	X				
FoodHumanFoods	ferm_chem_add	salt	C				
FoodHumanFoods	ferm_chem_add_perc	1%	C				
FoodHumanFoods	ferm_headspace_oxy	5%	C				
FoodHumanFoods	ferm_medium	molasses	C				
FoodHumanFoods	ferm_ph	4.5	C				
FoodHumanFoods	ferm_rel_humidity	95% RH	C				
FoodHumanFoods	ferm_temp	22 degrees Celsius	C				
FoodHumanFoods	ferm_time	P10D	C				
FoodHumanFoods	ferm_vessel	steel drum	C				
FoodHumanFoods	food_additive	xanthan gum [FOODON:03413321]	X				
FoodHumanFoods	food_allergen_label	food allergen labelling about crustaceans and products thereof [FOODON:03510215]	X				
FoodHumanFoods	food_contact_surf	cellulose acetate [FOODON:03500034]	X				
FoodHumanFoods	food_contain_wrap	Plastic shrink-pack [FOODON:03490137]	X				
FoodHumanFoods	food_cooking_proc	food blanching [FOODON:03470175]	X				
FoodHumanFoods	food_dis_point	"USA: Delmarva Peninsula or USA: Georgia, Atlanta [GAZ:00004445]"	X				
FoodHumanFoods	food_ingredient	bean (whole) [FOODON:00002753]	X				
FoodHumanFoods	food_name_status	protected geographic indication [FOODON:03530256]	X				
FoodHumanFoods	food_origin	"USA: Delmarva, Peninsula"	X				
FoodHumanFoods	food_pack_capacity	454 grams	X				
FoodHumanFoods	food_pack_integrity	food packing medium compromised [FOODON:00002517]	X				
FoodHumanFoods	food_pack_medium	vacuum-packed[FOODON:03480027]	X				
FoodHumanFoods	food_preserv_proc	food slow freezing [FOODON:03470128]	X				
FoodHumanFoods	food_prior_contact	processed in stainless steel container [FOODON:03530081]	X				
FoodHumanFoods	food_prod	organic plant cultivation [FOODON:03530253]	X				
FoodHumanFoods	food_prod_synonym	pinot gris	X				
FoodHumanFoods	food_product_qual	raw [FOODON:03311126]	X				
FoodHumanFoods	food_product_type	"shrimp (peeled, deep-frozen) [FOODON:03317171]"	M				
FoodHumanFoods	food_quality_date	best by 2020-05-24	X				
FoodHumanFoods	food_source	giant tiger prawn [FOODON:03412612]	X				#252
FoodHumanFoods	food_trace_list	tropical tree fruits	X				
FoodHumanFoods	food_trav_mode	train travel [GENEPIO:0001060]	X				
FoodHumanFoods	food_trav_vehic	aircraft [ENVO:01001488]|car [ENVO:01000605]	X				
FoodHumanFoods	food_treat_proc	gluten removal process [FOODON:03460750]	X				
FoodHumanFoods	genetic_mod	aox1A transgenic	X				
FoodHumanFoods	geo_loc_name	"USA: Maryland, Bethesda"	M				
FoodHumanFoods	haccp_term	tetrodotoxic poisoning [FOODON:03530249]	X				
FoodHumanFoods	ifsac_category	Plants:Produce:Vegetables:Herbs:Dried Herbs	M				
FoodHumanFoods	intended_consumer	9606 o rsenior as food consumer [FOODON:03510254] 	X				
FoodHumanFoods	lat_lon	50.586825 6.408977	M				
FoodHumanFoods	library_prep_kit	Illumina DNA Prep	X				
FoodHumanFoods	lot_number	"1239ABC01A, split Cornish hens"	X				
FoodHumanFoods	microb_cult_med	brain heart infusion agar [MICRO:0000566]	X				
FoodHumanFoods	microb_start	starter cultures [FOODON:03544454]	X				
FoodHumanFoods	microb_start_count	total prokaryotes;3.5e9 colony forming units per milliliter;spread plate	X				
FoodHumanFoods	microb_start_inoc	100 milligrams	X				
FoodHumanFoods	microb_start_prep	"liquid starter culture, propagated 3 cycles in milk prior to inoculation"	X				
FoodHumanFoods	microb_start_source	"backslopped, GetCulture"	X				
FoodHumanFoods	microb_start_tax_id	Lactobacillus rhamnosus [NCIT:C123495]	X				
FoodHumanFoods	misc_param	Bicarbonate ion concentration;2075 micromole per kilogram	X				
FoodHumanFoods	nucl_acid_ext	https://mobio.com/media/wysiwyg/pdfs/protocols/12888.pdf	X				
FoodHumanFoods	nucl_acid_ext_kit	Qiagen PowerSoil Kit	X				
FoodHumanFoods	num_samp_collect	116 samples	X				
FoodHumanFoods	organism_count	total prokaryotes;3.5e7 colony forming units per milliliter;qPCR	X				
FoodHumanFoods	part_plant_animal	chuck [FOODON:03530021]	X				
FoodHumanFoods	perturbation	antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M	X				
FoodHumanFoods	pool_dna_extracts	"yes, 5"	X				
FoodHumanFoods	project_name	Forest soil metagenome	M				
FoodHumanFoods	repository_name	FDA CFSAN Microbiology Laboratories	X				
FoodHumanFoods	samp_collect_device	"swab, biopsy, niskin bottle, push core, drag swab [GENEPIO:0002713]"	X				
FoodHumanFoods	samp_name	ISDsoil1	M				
FoodHumanFoods	samp_pooling	5uL of extracted genomic DNA from 5 leaves were pooled	X				
FoodHumanFoods	samp_purpose	field trial	X				
FoodHumanFoods	samp_rep_biol	6 replicates	X				
FoodHumanFoods	samp_rep_tech	10 replicates	X				
FoodHumanFoods	samp_size	5 liters	X				
FoodHumanFoods	samp_source_mat_cat	environmental (swab or sampling) [GENEPIO:0001732]	X				
FoodHumanFoods	samp_stor_device	Whirl Pak sampling bag [GENEPIO:0002122]	X				
FoodHumanFoods	samp_stor_dur	P1Y6M	X				
FoodHumanFoods	samp_stor_loc	freezer 5	X				
FoodHumanFoods	samp_stor_media	peptone water medium [MICRO:0000548]	X				
FoodHumanFoods	samp_stor_temp	-80 degree Celsius	X				
FoodHumanFoods	samp_transport_cont	cooler	X				
FoodHumanFoods	samp_transport_dur	P10D	X				
FoodHumanFoods	samp_transport_temp	4 degree Celsius	X				
FoodHumanFoods	samp_vol_we_dna_ext	1500 milliliter	X				
FoodHumanFoods	sample_collec_method	environmental swab sampling	X				
FoodHumanFoods	seq_meth	454 Genome Sequencer FLX [OBI:0000702]	M				
FoodHumanFoods	sequencing_kit	NextSeq 500/550 High Output Kit v2.5 (75 Cycles)	X				
FoodHumanFoods	sequencing_location	University of Maryland Genomics Resource Center	X				
FoodHumanFoods	serovar_or_serotype	Escherichia coli strain O157:H7 [NCIT:C86883]	X				
FoodHumanFoods	spikein_amr	wild type [ARO:3004432]	X				
FoodHumanFoods	spikein_antibiotic	Tetracycline at 5 mg/ml	X				
FoodHumanFoods	spikein_count	total prokaryotes;3.5e7 colony forming units per milliliter;qPCR	X				
FoodHumanFoods	spikein_growth_med	LB broth [MCO:0000036]	X				
FoodHumanFoods	spikein_metal	Cd at 20 ppm	X				
FoodHumanFoods	spikein_org	Listeria monocytogenes [NCIT:C86502]|28901	X				
FoodHumanFoods	spikein_serovar	Escherichia coli strain O157:H7 [NCIT:C86883]|83334	X				
FoodHumanFoods	spikein_strain	169963	X				
FoodHumanFoods	study_design	in vitro design [OBI:0001285]	X				
FoodHumanFoods	study_inc_dur	P24H	X				
FoodHumanFoods	study_inc_temp	37 degree Celsius	X				
FoodHumanFoods	study_timecourse	2 days post inoculation	X				
FoodHumanFoods	study_tmnt	"Factor A|spike-in|levels high, medium, low"	X				
FoodHumanFoods	temp	25 degree Celsius	X				
FoodHumanFoods	timepoint	P24H	X				
HostAssociated	alt	100 meter	C				
HostAssociated	ances_data	A/3*B	X				
HostAssociated	biol_stat	natural	X				
HostAssociated	blood_press_diast		X				
HostAssociated	blood_press_syst		X				
HostAssociated	chem_administration	agar [CHEBI:2509];2018-05-11T20:00Z	X				
HostAssociated	depth	10 meter	C				
HostAssociated	elev	100 meter	C				
HostAssociated	genetic_mod	aox1A transgenic	X				
HostAssociated	gravidity	yes;due date:2018-05-11	X				
HostAssociated	host_age	10 days	X				
HostAssociated	host_body_habitat	nasopharynx	X				
HostAssociated	host_body_product	Portion of mucus [fma66938]	X				
HostAssociated	host_body_site	gill [UBERON:0002535]	X				
HostAssociated	host_body_temp	15 degree Celsius	X				
HostAssociated	host_color		X				
HostAssociated	host_common_name	human	X				
HostAssociated	host_diet	herbivore	X				
HostAssociated	host_disease_stat	rabies [DOID:11260]	X				
HostAssociated	host_dry_mass	500 gram	X				
HostAssociated	host_family_relation	offspring;Mussel25	X				
HostAssociated	host_genotype	C57BL/6	X				
HostAssociated	host_growth_cond	https://academic.oup.com/icesjms/article/68/2/349/617247	X				
HostAssociated	host_height	0.1 meter	X				
HostAssociated	host_last_meal	corn feed;P2H	X				
HostAssociated	host_length	1 meter	X				
HostAssociated	host_life_stage	adult	X				
HostAssociated	host_phenotype	elongated [PATO:0001154]	X				
HostAssociated	host_sex	non-binary	X				
HostAssociated	host_shape	round	X				
HostAssociated	host_subject_id	MPI123	X				
HostAssociated	host_subspecf_genlin	"serovar:Newport, variety:glabrum, cultivar: Red Delicious"	X				#227 & #256
HostAssociated	host_substrate	rock	X				
HostAssociated	host_symbiont	flukeworms	X				
HostAssociated	host_taxid	7955	X				
HostAssociated	host_tot_mass	2500 gram	X				
HostAssociated	misc_param	Bicarbonate ion concentration;2075 micromole per kilogram	X				
HostAssociated	organism_count	total prokaryotes;3.5e7 cells per milliliter;qPCR	X				
HostAssociated	oxy_stat_samp	aerobic	X				
HostAssociated	perturbation	antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M	X				
HostAssociated	project_name	Forest soil metagenome	M				
HostAssociated	salinity	25 practical salinity unit	X				
HostAssociated	samp_capt_status	farm sample	X				
HostAssociated	samp_dis_stage	infection	X				
HostAssociated	samp_name	ISDsoil1	M				
HostAssociated	samp_store_dur	P1Y6M	X				
HostAssociated	samp_store_loc	Freezer no:5	X				
HostAssociated	samp_store_temp	-80 degree Celsius	X				
HostAssociated	samp_vol_we_dna_ext	1500 milliliter	X				
HostAssociated	temp	25 degree Celsius	X				
HumanAssociated	amniotic_fluid_color		X				
HumanAssociated	blood_blood_disord		X				
HumanAssociated	chem_administration	agar [CHEBI:2509];2018-05-11T20:00Z	X				
HumanAssociated	diet_last_six_month	yes;vegetarian diet	X				
HumanAssociated	drug_usage	Lipitor;2/day	X				
HumanAssociated	ethnicity	native american	X				
HumanAssociated	foetal_health_stat		X				
HumanAssociated	gestation_state		X				
HumanAssociated	host_age	30 years	X				
HumanAssociated	host_body_mass_index	22 kilogram per square meter	X				
HumanAssociated	host_body_product	Portion of mucus [fma66938]	X				
HumanAssociated	host_body_site	Lung parenchyma [fma27360]	X				
HumanAssociated	host_body_temp	36.5 degree Celsius	X				
HumanAssociated	host_diet	high-fat	X				
HumanAssociated	host_disease_stat	measles [DOID:8622]	X				
HumanAssociated	host_family_relation	mother;ID298	X				
HumanAssociated	host_genotype	ST1	X				
HumanAssociated	host_height	1.75 meter	X				
HumanAssociated	host_hiv_stat	yes;yes	X				
HumanAssociated	host_last_meal	french fries;P5H30M	X				
HumanAssociated	host_occupation	veterinary	X				
