Environmental package	Structured comment name	Example	Requirement	Preferred unit	github ticket
FoodFarmEnvironment	collection_date	2018-05-11T10:00:00+01:00	M		
FoodFarmEnvironment	env_broad_scale	forest biome [ENVO:01000174]	M		
FoodFarmEnvironment	env_local_scale	litter layer [ENVO:01000338]	M		
FoodFarmEnvironment	env_medium	soil [ENVO:00001998]	M		
FoodFarmEnvironment	depth	10 meter	M	meter	
FoodFarmEnvironment	host_disease_stat	downy mildew	C		
FoodFarmEnvironment	nucl_acid_ext	https://mobio.com/media/wysiwyg/pdfs/protocols/12888.pdf	X		
FoodFarmEnvironment	seq_meth	454 Genome Sequencer FLX [OBI:0000702]	M		
FoodFarmEnvironment	project_name	Forest soil metagenome	M		
FoodFarmEnvironment	humidity	30% relative humidity	X	percentage	
FoodFarmEnvironment	organism_count	total prokaryotes;3.5e7 colony forming units per milliliter;qPCR	X	colony forming units per milliliter; colony forming units per gram of dry weight	
FoodFarmEnvironment	spikein_count	total prokaryotes;3.5e7 colony forming units per milliliter;qPCR	X	colony forming units per milliliter; colony forming units per gram of dry weight	maybe MIXS:0001335
FoodFarmEnvironment	air_PM_concen	PM2.5;10 microgram per cubic meter	X	micrograms per cubic meter	
FoodFarmEnvironment	samp_stor_temp	-80 degree Celsius	X	degree Celsius	
FoodFarmEnvironment	samp_vol_we_dna_ext	1500 milliliter	X	"milliliter, gram, milligram, square centimeter"	
FoodFarmEnvironment	solar_irradiance	1.36 kilowatts per square meter per day	X	"kilowatts per square meter per day, ergs per square centimeter per second"	
FoodFarmEnvironment	temp	25 degree Celsius	X	degree Celsius	
FoodFarmEnvironment	ventilation_rate	750 cubic meter per minute	X	"cubic meter per minute, liters per second"	
FoodFarmEnvironment	samp_stor_dur	P1Y6M	X		
FoodFarmEnvironment	wind_speed	1.6 kilometers per hour	X	kilometer per hour	
FoodFarmEnvironment	salinity	25 practical salinity unit	X	"practical salinity unit, percentage"	
FoodFarmEnvironment	turbidity	0.3 nephelometric turbidity units	X	"formazin turbidity unit, formazin nephelometric units, nephelometric turbidity units"	
FoodFarmEnvironment	ances_data	A/3*B	X		
FoodFarmEnvironment	host_taxid	4530	X		
FoodFarmEnvironment	host_age	10 days	X	"year, day, hour"	
FoodFarmEnvironment	host_length	1 meter	X	"centimeter, millimeter, meter"	
FoodFarmEnvironment	host_dry_mass	500 gram	X	"kilogram, gram"	
FoodFarmEnvironment	host_tot_mass	2500 gram	X	"kilogram, gram"	
FoodFarmEnvironment	host_height	1 meter	X	"centimeter, millimeter, meter"	
FoodFarmEnvironment	previous_land_use	fallow; 2018-05-11:T14:30Z	X		
FoodFarmEnvironment	crop_rotation	yes;R2/2017-01-01/2018-12-31/P6M	X		
FoodFarmEnvironment	soil_type	plinthosol [ENVO:00002250]	X		
FoodFarmEnvironment	soil_type_meth	Frederick series; Weikert series	X		
FoodFarmEnvironment	soil_texture_meth	https://uwlab.soils.wisc.edu/wp-content/uploads/sites/17/2015/09/particle_size.pdf (hydrometer method)	X		
FoodFarmEnvironment	tot_org_c_meth	https://www.epa.gov/sites/production/files/2015-12/documents/9060a.pdf	X		
FoodFarmEnvironment	tot_nitro_cont_meth	https://currentprotocols.onlinelibrary.wiley.com/doi/abs/10.1002/0471142913.fab0102s00	X		
FoodFarmEnvironment	salinity_meth	PMID: 22895776	X		
FoodFarmEnvironment	host_genotype	Ts	X		
FoodFarmEnvironment	tot_nitro_content	35 milligrams Nitrogen per kilogram of soil	X	milligrams Nitrogen per kilogram of soil	
FoodFarmEnvironment	tot_org_carb	2%	X	gram Carbon per kilogram sample material	
FoodFarmEnvironment	root_med_carbon	sucrose	X	milligram per liter	
FoodFarmEnvironment	root_med_macronutr	KH2PO4;170 milligram per liter	X	milligram per liter	
FoodFarmEnvironment	root_med_micronutr	H3BO3;6.2 milligram per liter	X	milligram per liter	
FoodFarmEnvironment	season_temp	18 degree Celsius	X	degree Celsius	
FoodFarmEnvironment	season_precpt	75 millimeters	X	millimeter	
FoodFarmEnvironment	conduc	10 milliSiemens per centimeter	X	milliSiemens per centimeter	
FoodFarmEnvironment	size_frac_low	0.2 micrometer	X	micrometer	
FoodFarmEnvironment	size_frac_up	20 micrometer	X	micrometer	
FoodFarmEnvironment	chem_administration	agar [CHEBI:2509];2018-05-11T20:00Z	M		
FoodFarmEnvironment	misc_param	Bicarbonate ion concentration;2075 micromole per kilogram	X		
FoodFarmEnvironment	perturbation	antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M	X		
FoodFarmEnvironment	ventilation_type	Operable windows	X		
FoodFarmEnvironment	wind_direction	0 degrees; Northwest	X	degrees or cardinal direction	
FoodFarmEnvironment	season	autumn [NCIT:C94733]	X		
FoodFarmEnvironment	genetic_mod	aox1A transgenic	X		
FoodFarmEnvironment	host_phenotype	seed pod; green [PATO:0000320]	X		
FoodFarmEnvironment	samp_type	built environment sample [GENEPIO:0001248]	M		
FoodFarmEnvironment	ph	7.2	X		
FoodFarmEnvironment	biotic_regm	sample inoculated with Rhizobium spp. Culture	M		
FoodFarmEnvironment	growth_habit	spreading	X		
FoodFarmEnvironment	mechanical_damage	pruning;bark	X		
FoodFarmEnvironment	plant_growth_med	soil	X		
FoodFarmEnvironment	root_cond	http://himedialabs.com/TD/PT158.pdf	X		
FoodFarmEnvironment	root_med_ph	7.5	X		
FoodFarmEnvironment	tillage	chisel	X		
FoodFarmEnvironment	ph_meth	https://www.epa.gov/sites/production/files/2015-12/documents/9040c.pdf	X		
FoodFarmEnvironment	samp_name	ISDsoil1	M		
FoodFarmEnvironment	growth_medium	LB broth	X		
FoodFarmEnvironment	farm_water_source	water well (ENVO:01000002)	C		
FoodFarmEnvironment	plant_water_method	drip irrigation process [AGRO:00000056]	C		
FoodFarmEnvironment	animal_feed_equip	self feeding [EOL:0001645]| straight feed trough [EOL:0001661]	X		
FoodFarmEnvironment	animal_intrusion	Thripidae [NCBITaxon:45053]	X		
FoodFarmEnvironment	anim_water_method	water trough [EOL:0001618]	X		
FoodFarmEnvironment	crop_yield	570 kilogram per metre square	X	kilogram per metre square	
FoodFarmEnvironment	cult_result	positive	X		
FoodFarmEnvironment	cult_result_org	Listeria monocytogenes [NCIT:C86502]	X		
FoodFarmEnvironment	cult_target	Listeria monocytogenes [NCIT:C86502]	X		
FoodFarmEnvironment	plant_part_maturity	ripe or mature [FOODON:03530052]	X		
FoodFarmEnvironment	adjacent_environment	estuarine biome [ENVO:01000020]	X		
FoodFarmEnvironment	water_source_adjac	feedlot [ENVO:01000627]	X		
FoodFarmEnvironment	farm_equip_shared	combine harvester [AGRO:00000473]	X		
FoodFarmEnvironment	farm_equip_san	"hot water pressure wash, hypochlorite solution, 50 parts per million"	X	parts per million	
FoodFarmEnvironment	farm_equip_san_freq	Biweekly	X		
FoodFarmEnvironment	farm_equip	combine harvester [AGRO:00000473]	X		
FoodFarmEnvironment	fertilizer_admin	fish emulsion [AGRO:00000082]	X		
FoodFarmEnvironment	fertilizer_date	2018-05-11T10:00:00+01:00	X		
FoodFarmEnvironment	animal_group_size	80	X		
FoodFarmEnvironment	animal_diet	Hay [FOODON_03301763]	X		
FoodFarmEnvironment	food_contact_surf	cellulose acetate [FOODON:03500034]	X		
FoodFarmEnvironment	food_contain_wrap	Plastic shrink-pack [FOODON:03490137]	X		
FoodFarmEnvironment	food_harvest_proc	hand-picked	X		
FoodFarmEnvironment	food_pack_medium	vacuum-packed [FOODON:03480027]	X		
FoodFarmEnvironment	food_preserv_proc	food slow freezing [FOODON:03470128]	X		
FoodFarmEnvironment	food_prod_char	wild caught	X		
FoodFarmEnvironment	food_trav_mode	train travel [GENEPIO:0001060]	X		
FoodFarmEnvironment	food_trav_vehic	aircraft [ENVO:01001488]|car [ENVO:01000605]	X		
FoodFarmEnvironment	food_source	giant tiger prawn [FOODON:03412612]	X		#252
FoodFarmEnvironment	food_treat_proc	gluten removal process [FOODON:03460750]	X		
FoodFarmEnvironment	extr_weather_event	hail	X		
FoodFarmEnvironment	date_extr_weath	2018-05-11:T14:30Z	X		
FoodFarmEnvironment	intended_consumer	9606 o rsenior as food consumer [FOODON:03510254]	X		
FoodFarmEnvironment	library_prep_kit	Illumina DNA Prep	X		
FoodFarmEnvironment	air_flow_impede	obstructed;hay bales; 2 m	X		
FoodFarmEnvironment	lot_number	"1239ABC01A, split Cornish hens"	X		
FoodFarmEnvironment	season_humidity	25%	X		
FoodFarmEnvironment	part_plant_animal	chuck [FOODON:03530021]	X		
FoodFarmEnvironment	plant_reprod_crop	seedling	X		
FoodFarmEnvironment	samp_purpose	field trial	X		
FoodFarmEnvironment	repository_name	FDA CFSAN Microbiology Laboratories	X		
FoodFarmEnvironment	samp_pooling	5uL of extracted genomic DNA from 5 leaves were pooled	X		
FoodFarmEnvironment	samp_source_mat_cat	environmental (swab or sampling) [GENEPIO:0001732]	X		
FoodFarmEnvironment	sequencing_kit	NextSeq 500/550 High Output Kit v2.5 (75 Cycles)	X		
FoodFarmEnvironment	sequencing_location	University of Maryland Genomics Resource Center	X		
FoodFarmEnvironment	serovar_or_serotype	Escherichia coli strain O157:H7 [NCIT:C86883]	X		
FoodFarmEnvironment	soil_conductivity	10 milliSiemens per centimeter	X	milliSiemens per centimeter	
FoodFarmEnvironment	soil_cover	bare soil [ENVO01001616]	X		
FoodFarmEnvironment	soil_pH	7.2	X		
FoodFarmEnvironment	rel_location	furrow	X		
FoodFarmEnvironment	soil_porosity	20%	X	percentage	
FoodFarmEnvironment	soil_temp	25 degrees Celsius	X	degree Celsius	
FoodFarmEnvironment	soil_texture_class	silty clay loam	X		
FoodFarmEnvironment	spikein_org	Listeria monocytogenes [NCIT:C86502]|28901	X		
FoodFarmEnvironment	spikein_serovar	Escherichia coli strain O157:H7 [NCIT:C86883]|83334	X		
FoodFarmEnvironment	spikein_growth_med	LB broth [MCO:0000036]	X		
FoodFarmEnvironment	spikein_strain	169963	X		
FoodFarmEnvironment	spikein_antibiotic	Tetracycline at 5 mg/ml	X		
FoodFarmEnvironment	spikein_metal	Cd at 20 ppm	X		
FoodFarmEnvironment	timepoint	P24H	X	hours or days	
FoodFarmEnvironment	water_frequency	2 per day	X	"per day, per week, per month"	
FoodFarmEnvironment	water_pH	7.2	X		
FoodFarmEnvironment	water_source_shared	no sharing	X		
FoodFarmEnvironment	enrichment_protocol	BAM Chapter 4: Enumeration of Escherichia coli and the Coliform Bacteria	X		
FoodFarmEnvironment	food_quality_date	best by 2020-05-24	X		
FoodFarmEnvironment	IFSAC_category	Plants:Produce:Vegetables:Herbs:Dried Herbs	M		
FoodFarmEnvironment	animal_housing	pen rearing system [EOL:0001636]	X		
FoodFarmEnvironment	cult_isol_date	2018-05-11T10:00:00+01:00	X		
FoodFarmEnvironment	food_clean_proc	rinsed with water|scrubbed with brush	X		
FoodFarmEnvironment	food_product_type	"shrimp (peeled, deep-frozen) [FOODON:03317171]"	M		
FoodFarmEnvironment	host_subspecf_genlin	"serovar:Newport, variety:glabrum, cultivar: Red Delicious"	X		#227 & #256
FoodFarmEnvironment	prod_label_claims	free range	X		#298
FoodFoodProductionFacility	samp_size	5 liters	X	"liter, gram, cm^2"	
FoodFoodProductionFacility	samp_collect_device	"biopsy, niskin bottle, push core"	X		
FoodFoodProductionFacility	experimental_factor	time series design [EFO:EFO_0001779]	X		
FoodFoodProductionFacility	lat_lon	50.586825 6.408977	M		
FoodFoodProductionFacility	geo_loc_name	"USA: Maryland, Bethesda"	M		
FoodFoodProductionFacility	collection_date	2018-05-11T10:00:00+01:00	M		
FoodFoodProductionFacility	env_broad_scale	forest biome [ENVO:01000174]	M		
FoodFoodProductionFacility	env_local_scale	litter layer [ENVO:01000338]	M		
FoodFoodProductionFacility	env_medium	soil [ENVO:00001998]	M		
FoodFoodProductionFacility	subspecf_gen_lin	serovar:Newport			#256
FoodFoodProductionFacility	nucl_acid_ext	https://mobio.com/media/wysiwyg/pdfs/protocols/12888.pdf	X		
FoodFoodProductionFacility	seq_meth	454 Genome Sequencer FLX [OBI:0000702]	M		
FoodFoodProductionFacility	project_name	Forest soil metagenome	M		
FoodFoodProductionFacility	organism_count	total prokaryotes;3.5e7 colony forming units per milliliter;qPCR	X	colony forming units per milliliter; colony forming units per gram of dry weight	
FoodFoodProductionFacility	samp_stor_temp	-80 degree Celsius	X	degree Celsius	
FoodFoodProductionFacility	samp_vol_we_dna_ext	1500 milliliter	X	"milliliter, gram, milligram, square centimeter"	
FoodFoodProductionFacility	samp_stor_dur	P1Y6M	X		
FoodFoodProductionFacility	air_temp	4 degree Celsius	X	degree Celsius	
FoodFoodProductionFacility	room_dim	4 meter x 4 meter x 4 meter	X	meter	
FoodFoodProductionFacility	freq_clean	Daily	X		
FoodFoodProductionFacility	samp_room_id		X		
FoodFoodProductionFacility	pool_dna_extracts	"yes, 5"	X		
FoodFoodProductionFacility	misc_param	Bicarbonate ion concentration;2075 micromole per kilogram	X		
FoodFoodProductionFacility	samp_stor_loc	freezer 5	X		
FoodFoodProductionFacility	surf_material	wood	X		
FoodFoodProductionFacility	indoor_surf	wall	X		
FoodFoodProductionFacility	avg_occup	6	X		
FoodFoodProductionFacility	samp_floor	4th floor	X		
FoodFoodProductionFacility	genetic_mod	aox1A transgenic	X		
FoodFoodProductionFacility	samp_type	built environment sample [GENEPIO:0001248]	M		#208
FoodFoodProductionFacility	samp_name	ISDsoil1	M		
FoodFoodProductionFacility	cult_result	positive	X		
FoodFoodProductionFacility	cult_result_org	Listeria monocytogenes [NCIT:C86502]	X		
FoodFoodProductionFacility	cult_target	Listeria monocytogenes [NCIT:C86502]	X		
FoodFoodProductionFacility	food_contact_surf	cellulose acetate [FOODON:03500034]	M		
FoodFoodProductionFacility	food_contain_wrap	Plastic shrink-pack [FOODON:03490137]	X		
FoodFoodProductionFacility	food_pack_medium	vacuum-packed [FOODON:03480027]	X		
FoodFoodProductionFacility	food_preserv_proc	food slow freezing [FOODON:03470128]	X		
FoodFoodProductionFacility	food_prod_char	wild caught	X		
FoodFoodProductionFacility	food_trav_mode	train travel [GENEPIO:0001060]	X		
FoodFoodProductionFacility	food_trav_vehic	aircraft [ENVO:01001488]|car [ENVO:01000605]	X		
FoodFoodProductionFacility	food_source	giant tiger prawn [FOODON:03412612]	X		#252
FoodFoodProductionFacility	food_treat_proc	gluten removal process [FOODON:03460750]	X		
FoodFoodProductionFacility	intended_consumer	9606 o rsenior as food consumer [FOODON:03510254]	X		
FoodFoodProductionFacility	library_prep_kit	Illumina DNA Prep	X		
FoodFoodProductionFacility	lot_number	"1239ABC01A, split Cornish hens"	X		
FoodFoodProductionFacility	part_plant_animal	chuck [FOODON:03530021]	X		
FoodFoodProductionFacility	samp_purpose	field trial	X		
FoodFoodProductionFacility	repository_name	FDA CFSAN Microbiology Laboratories	X		
FoodFoodProductionFacility	samp_pooling	5uL of extracted genomic DNA from 5 leaves were pooled	X		
FoodFoodProductionFacility	samp_source_mat_cat	environmental swab specimen [OBI:0002613]	M		
FoodFoodProductionFacility	sequencing_kit	NextSeq 500/550 High Output Kit v2.5 (75 Cycles)	X		
FoodFoodProductionFacility	sequencing_location	University of Maryland Genomics Resource Center	X		
FoodFoodProductionFacility	timepoint	P24H	X	hours or days	
FoodFoodProductionFacility	enrichment_protocol	BAM Chapter 4: Enumeration of Escherichia coli and the Coliform Bacteria	X		
FoodFoodProductionFacility	food_quality_date	best by 2020-05-24	X		
FoodFoodProductionFacility	IFSAC_category	Plants:Produce:Vegetables:Herbs:Dried Herbs	M		
FoodFoodProductionFacility	cult_isol_date	2018-05-11T10:00:00+01:00	X		
FoodFoodProductionFacility	coll_site_geo_feat	grocery store [GENEPIO:0001020]	M		
FoodFoodProductionFacility	food_product_type	"shrimp (peeled, deep-frozen) [FOODON:03317171]"	M		
FoodFoodProductionFacility	bacterial_density	10 colony forming units per gram dry weight	X	colony forming units per milliliter; colony forming units per gram of dry weight	
FoodFoodProductionFacility	dietary_claim_use	No preservatives [FOODON:03510113]	X		
FoodFoodProductionFacility	food_additive	xanthan gum [FOODON_03413321]	X		
FoodFoodProductionFacility	food_allergen_label	food allergen labelling about crustaceans and products thereof [FOODON:03510215]	X		
FoodFoodProductionFacility	food_cooking_proc	food blanching [FOODON:03470175]	X		
FoodFoodProductionFacility	food_dis_point	"USA: Delmarva, Peninsula"	X		
FoodFoodProductionFacility	food_dis_point_city	Atlanta[GAZ:00004445]	X		
FoodFoodProductionFacility	food_ingredient	bean (whole) [FOODON:00002753]	X		
FoodFoodProductionFacility	food_name_status	protected geographic indication [FOODON:03530256]	X		
FoodFoodProductionFacility	food_origin	"USA: Delmarva, Peninsula"	X		
FoodFoodProductionFacility	food_pack_capacity	454 grams	X	grams	
FoodFoodProductionFacility	food_pack_integrity	food packing medium compromised [FOODON:00002517]	X		
FoodFoodProductionFacility	food_prior_contact	processed in stainless steel container [FOODON:03530081]	X		
FoodFoodProductionFacility	food_prod	organic plant cultivation [FOODON:03530253]	X		
FoodFoodProductionFacility	food_prod_synonym	pinot gris	X		
FoodFoodProductionFacility	food_product_qual	raw [FOODON:03311126]	M		
FoodFoodProductionFacility	food_trace_list	tropical tree fruits	X		
FoodFoodProductionFacility	HACCP_term	tetrodotoxic poisoning [FOODON:03530249]	X		
FoodFoodProductionFacility	microb_cult_med	brain heart infusion agar [MICRO:0000566]	X		
FoodFoodProductionFacility	nucl_acid_ext_kit	Qiagen PowerSoil Kit	X		
FoodFoodProductionFacility	num_samp_collect	116 samples	X		
FoodFoodProductionFacility	samp_collect_method	environmental swab sampling	X		
FoodFoodProductionFacility	samp_rep_biol	6 replicates	X		
FoodFoodProductionFacility	samp_rep_tech	10 replicates	X		
FoodFoodProductionFacility	samp_stor_device	Whirl Pak sampling bag [GENEPIO:0002122]	M		
FoodFoodProductionFacility	samp_stor_media	peptone water medium [MICRO:0000548]	M		
FoodFoodProductionFacility	samp_transport_cont	cooler	X		
FoodFoodProductionFacility	samp_transport_dur	P10D	X	days	
FoodFoodProductionFacility	samp_transport_temp	4 degree Celsius	X	degree Celsius	
FoodFoodProductionFacility	spec_intended_cons	senior as food consumer [FOODON:03510254]	X		
FoodFoodProductionFacility	study_design	in vitro design [OBI:0001285]	X		
FoodFoodProductionFacility	study_inc_dur	P24H	X	hours or days	
FoodFoodProductionFacility	study_inc_temp	37 degree Celsius	X	degree Celsius	
FoodFoodProductionFacility	study_timecourse	2 days post inoculation	X	dpi	
FoodFoodProductionFacility	study_tmnt	"Factor A|spike-in|levels high, medium, low"	X		
FoodFoodProductionFacility	facility_type	manufacturing-processing	X		
FoodFoodProductionFacility	hygienic_area	Low Hygiene Area	X		
FoodFoodProductionFacility	env_monitoring_zone	Zone 1	X		
FoodFoodProductionFacility	area_samp_size	12 centimeter x 12 centimeter	X	centimeter	
FoodFoodProductionFacility	samp_surf_moisture	submerged	X		
FoodFoodProductionFacility	samp_loc_condition	new	X		
FoodFoodProductionFacility	biocide_used	Quaternary ammonium compound|SterBac	X		
FoodFoodProductionFacility	ster_meth_samp_room	ultraviolet radiation [ENVO:21001216]|infrared radiation [ENVO:21001214]	X		
FoodFoodProductionFacility	prod_label_claims	free range	X		#298
FoodHumanFoods	samp_size	5 liters	X	"liter, gram, cm^2"	
FoodHumanFoods	samp_collect_device	"swab, biopsy, niskin bottle, push core, drag swab [GENEPIO:0002713]"	X		
FoodHumanFoods	experimental_factor	time series design [EFO:0001779]	X		
FoodHumanFoods	lat_lon	50.586825 6.408977	M		
FoodHumanFoods	geo_loc_name	"USA: Maryland, Bethesda"	M		
FoodHumanFoods	collection_date	2018-05-11T10:00:00+01:00	M		
FoodHumanFoods	env_broad_scale	oceanic epipelagic zone biome [ENVO:01000033] for annotating a water sample from the photic zone in middle of the Atlantic Ocean	M		
FoodHumanFoods	env_local_scale	litter layer [ENVO:01000338]; Annotating a pooled sample taken from various vegetation layers in a forest consider: canopy [ENVO:00000047]|herb and fern layer [ENVO:01000337]|litter layer [ENVO:01000338]|understory [01000335]|shrub layer [ENVO:01000336].	M		
FoodHumanFoods	env_medium	"soil [ENVO:00001998]; Annotating a fish swimming in the upper 100 m of the Atlantic Ocean, consider: ocean water [ENVO:00002151]. Example: Annotating a duck on a pond consider: pond water [ENVO:00002228]|air [ENVO_00002005]"	M		
FoodHumanFoods	nucl_acid_ext	https://mobio.com/media/wysiwyg/pdfs/protocols/12888.pdf	X		
FoodHumanFoods	seq_meth	454 Genome Sequencer FLX [OBI:0000702]	M		
FoodHumanFoods	project_name	Forest soil metagenome	M		
FoodHumanFoods	organism_count	total prokaryotes;3.5e7 colony forming units per milliliter;qPCR	X	colony forming units per milliliter; colony forming units per gram of dry weight	
FoodHumanFoods	samp_stor_temp	-80 degree Celsius	X	degree Celsius	
FoodHumanFoods	samp_vol_we_dna_ext	1500 milliliter	X	"milliliter, gram, milligram, square centimeter"	
FoodHumanFoods	temp	25 degree Celsius	X	degree Celsius	
FoodHumanFoods	samp_stor_dur	P1Y6M	X		
FoodHumanFoods	pool_dna_extracts	"yes, 5"	X		
FoodHumanFoods	misc_param	Bicarbonate ion concentration;2075 micromole per kilogram	X		
FoodHumanFoods	perturbation	antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M	X		
FoodHumanFoods	samp_stor_loc	freezer 5	X		
FoodHumanFoods	genetic_mod	aox1A transgenic	X		
FoodHumanFoods	samp_name	ISDsoil1	M		
FoodHumanFoods	cult_result	positive	X		
FoodHumanFoods	cult_result_org	Listeria monocytogenes [NCIT:C86502]	X		
FoodHumanFoods	cult_target	Listeria monocytogenes [NCIT:C86502]	X		
FoodHumanFoods	food_contact_surf	cellulose acetate [FOODON:03500034]	X		
FoodHumanFoods	food_contain_wrap	Plastic shrink-pack [FOODON:03490137]	X		
FoodHumanFoods	food_pack_medium	vacuum-packed[FOODON:03480027]	X		
FoodHumanFoods	food_preserv_proc	food slow freezing [FOODON:03470128]	X		
FoodHumanFoods	food_trav_mode	train travel [GENEPIO:0001060]	X		
FoodHumanFoods	food_trav_vehic	aircraft [ENVO:01001488]|car [ENVO:01000605]	X		
FoodHumanFoods	food_source	giant tiger prawn [FOODON:03412612]	X		#252
FoodHumanFoods	food_treat_proc	gluten removal process [FOODON:03460750]	X		
FoodHumanFoods	intended_consumer	9606 o rsenior as food consumer [FOODON:03510254]	X		
FoodHumanFoods	library_prep_kit	Illumina DNA Prep	X		
FoodHumanFoods	lot_number	"1239ABC01A, split Cornish hens"	X		
FoodHumanFoods	part_plant_animal	chuck [FOODON:03530021]	X		
FoodHumanFoods	samp_purpose	field trial	X		
FoodHumanFoods	repository_name	FDA CFSAN Microbiology Laboratories	X		
FoodHumanFoods	samp_pooling	5uL of extracted genomic DNA from 5 leaves were pooled	X		
FoodHumanFoods	samp_source_mat_cat	environmental (swab or sampling) [GENEPIO:0001732]	X		
FoodHumanFoods	sequencing_kit	NextSeq 500/550 High Output Kit v2.5 (75 Cycles)	X		
FoodHumanFoods	sequencing_location	University of Maryland Genomics Resource Center	X		
FoodHumanFoods	serovar_or_serotype	Escherichia coli strain O157:H7 [NCIT:C86883]	X		
FoodHumanFoods	spikein_org	Listeria monocytogenes [NCIT:C86502]|28901	X		
FoodHumanFoods	spikein_serovar	Escherichia coli strain O157:H7 [NCIT:C86883]|83334	X		
FoodHumanFoods	spikein_growth_med	LB broth [MCO:0000036]	X		
FoodHumanFoods	spikein_strain	169963	X		
FoodHumanFoods	spikein_antibiotic	Tetracycline at 5 mg/ml	X		
FoodHumanFoods	spikein_metal	Cd at 20 ppm	X		
FoodHumanFoods	timepoint	P24H	X	hours or days	
FoodHumanFoods	enrichment_protocol	BAM Chapter 4: Enumeration of Escherichia coli and the Coliform Bacteria	X		
FoodHumanFoods	food_quality_date	best by 2020-05-24	X		
FoodHumanFoods	IFSAC_category	Plants:Produce:Vegetables:Herbs:Dried Herbs	M		
FoodHumanFoods	cult_isol_date	2018-05-11T10:00:00+01:00	X		
FoodHumanFoods	coll_site_geo_feat	grocery store [ENVO:01000984]	M		
FoodHumanFoods	food_product_type	"shrimp (peeled, deep-frozen) [FOODON:03317171]"	M		
FoodHumanFoods	ferm_chem_add	salt	C		
FoodHumanFoods	ferm_chem_add_perc	1%	C	percentage	
FoodHumanFoods	ferm_headspace_oxy	5%	C	percentage	
FoodHumanFoods	ferm_medium	molasses	C		
FoodHumanFoods	ferm_pH	4.5	C		
FoodHumanFoods	ferm_rel_humidity	95% RH	C	percentage	
FoodHumanFoods	ferm_temp	22 degrees Celsius	C	degree Celsius	
FoodHumanFoods	ferm_time	P10D	C	days	
FoodHumanFoods	ferm_vessel	steel drum	C		
FoodHumanFoods	bacterial_density	10 colony forming units per gram dry weight	X	colony forming units per milliliter; colony forming units per gram of dry weight	
FoodHumanFoods	cons_food_stor_dur	P5D	X	hours or days	
FoodHumanFoods	cons_food_stor_temp	4 degree Celsius	X	degree Celsius	
FoodHumanFoods	cons_purch_date	11/30/19	X		
FoodHumanFoods	cons_qty_purchased	5 cans	X		
FoodHumanFoods	dietary_claim_use	No preservatives [FOODON:03510113]	X		
FoodHumanFoods	food_additive	xanthan gum [FOODON:03413321]	X		
FoodHumanFoods	food_allergen_label	food allergen labelling about crustaceans and products thereof [FOODON:03510215]	X		
FoodHumanFoods	food_cooking_proc	food blanching [FOODON:03470175]	X		
FoodHumanFoods	food_dis_point	"USA: Delmarva Peninsula or USA: Georgia, Atlanta [GAZ:00004445]"	X		
FoodHumanFoods	food_ingredient	bean (whole) [FOODON:00002753]	X		
FoodHumanFoods	food_name_status	protected geographic indication [FOODON:03530256]	X		
FoodHumanFoods	food_origin	"USA: Delmarva, Peninsula"	X		
FoodHumanFoods	food_pack_capacity	454 grams	X	grams	
FoodHumanFoods	food_pack_integrity	food packing medium compromised [FOODON:00002517]	X		
FoodHumanFoods	food_prior_contact	processed in stainless steel container [FOODON:03530081]	X		
FoodHumanFoods	food_prod	organic plant cultivation [FOODON:03530253]	X		
FoodHumanFoods	food_prod_synonym	pinot gris	X		
FoodHumanFoods	food_product_qual	raw [FOODON:03311126]	X		
FoodHumanFoods	food_trace_list	tropical tree fruits	X		
FoodHumanFoods	HACCP_term	tetrodotoxic poisoning [FOODON:03530249]	X		
FoodHumanFoods	microb_cult_med	brain heart infusion agar [MICRO:0000566]	X		
FoodHumanFoods	microb_start	starter cultures [FOODON:03544454]	X		
FoodHumanFoods	microb_start_count	total prokaryotes;3.5e9 colony forming units per milliliter;spread plate	X	colony forming units per milliliter; colony forming units per gram of dry weight	
FoodHumanFoods	microb_start_inoc	100 milligrams	X	milligram or gram	
FoodHumanFoods	microb_start_prep	"liquid starter culture, propagated 3 cycles in milk prior to inoculation"	X		
FoodHumanFoods	microb_start_source	"backslopped, GetCulture"	X		
FoodHumanFoods	microb_start_taxID	Lactobacillus rhamnosus [NCIT:C123495]	X		
FoodHumanFoods	nucl_acid_ext_kit	Qiagen PowerSoil Kit	X		
FoodHumanFoods	num_samp_collect	116 samples	X		
FoodHumanFoods	sample_collec_method	environmental swab sampling	X		
FoodHumanFoods	samp_rep_biol	6 replicates	X		
FoodHumanFoods	samp_rep_tech	10 replicates	X		
FoodHumanFoods	samp_stor_device	Whirl Pak sampling bag [GENEPIO:0002122]	X		
FoodHumanFoods	samp_stor_media	peptone water medium [MICRO:0000548]	X		
FoodHumanFoods	samp_transport_cont	cooler	X		
FoodHumanFoods	samp_transport_dur	P10D	X	days	
FoodHumanFoods	samp_transport_temp	4 degree Celsius	X	degree Celsius	
FoodHumanFoods	spikein_AMR	wild type [ARO:3004432]	X		
FoodHumanFoods	study_design	in vitro design [OBI:0001285]	X		
FoodHumanFoods	study_inc_dur	P24H	X	hours or days	
FoodHumanFoods	study_inc_temp	37 degree Celsius	X	degree Celsius	
