Environmental package	Structured comment name	Package item	Definition	Expected value	Value syntax	Example	Requirement	Preferred unit	Occurrence	MIXS ID	github ticket
human-gut	organism_count	organism count	"Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)"	organism name;measurement value;enumeration	{text};{float} {unit};[qPCR|ATP|MPN|other]	total prokaryotes;3.5e7 cells per milliliter;qPCR	X	"number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter"	m	MIXS:0000103	
human-oral	organism_count	organism count	"Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)"	organism name;measurement value;enumeration	{text};{float} {unit};[qPCR|ATP|MPN|other]	total prokaryotes;3.5e7 cells per milliliter;qPCR	X	"number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter"	m	MIXS:0000103	
human-skin	organism_count	organism count	"Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)"	organism name;measurement value;enumeration	{text};{float} {unit};[qPCR|ATP|MPN|other]	total prokaryotes;3.5e7 cells per milliliter;qPCR	X	"number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter"	m	MIXS:0000103	
human-vaginal	organism_count	organism count	"Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)"	organism name;measurement value;enumeration	{text};{float} {unit};[qPCR|ATP|MPN|other]	total prokaryotes;3.5e7 cells per milliliter;qPCR	X	"number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter"	m	MIXS:0000103	
hydrocarbon resources-cores	organism_count	organism count	"Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)"	organism name;measurement value;enumeration	{text};{float} {unit};[qPCR|ATP|MPN|other]	total prokaryotes;3.5e7 cells per milliliter;qPCR	C	"number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter"	m	MIXS:0000103	
hydrocarbon resources-fluids/swabs	organism_count	organism count	"Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)"	organism name;measurement value;enumeration	{text};{float} {unit};[qPCR|ATP|MPN|other]	total prokaryotes;3.5e7 cells per milliliter;qPCR	C	"number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter"	m	MIXS:0000103	
microbial mat/biofilm	organism_count	organism count	"Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)"	organism name;measurement value;enumeration	{text};{float} {unit};[qPCR|ATP|MPN|other]	total prokaryotes;3.5e7 cells per milliliter;qPCR	X	"number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter"	m	MIXS:0000103	
miscellaneous natural or artificial environment	organism_count	organism count	"Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)"	organism name;measurement value;enumeration	{text};{float} {unit};[qPCR|ATP|MPN|other]	total prokaryotes;3.5e7 cells per milliliter;qPCR	X	"number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter"	m	MIXS:0000103	
plant-associated	organism_count	organism count	"Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)"	organism name;measurement value;enumeration	{text};{float} {unit};[qPCR|ATP|MPN|other]	total prokaryotes;3.5e7 cells per milliliter;qPCR	X	"number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter"	m	MIXS:0000103	
sediment	organism_count	organism count	"Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)"	organism name;measurement value;enumeration	{text};{float} {unit};[qPCR|ATP|MPN|other]	total prokaryotes;3.5e7 cells per milliliter;qPCR	X	"number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter"	m	MIXS:0000103	
symbiont-associated	organism_count	organism count	"Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)."	organism name;measurement value	{text};{float} {unit}	total prokaryotes;3.5e7 cells per milliliter;qPCR	X	number of organism per cubic meter	m	MIXS:0000103	
wastewater/sludge	organism_count	organism count	"Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)"	organism name;measurement value;enumeration	{text};{float} {unit};[qPCR|ATP|MPN|other]	total prokaryotes;3.5e7 cells per milliliter;qPCR	X	"number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter"	m	MIXS:0000103	
water	organism_count	organism count	"Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)"	organism name;measurement value;enumeration	{text};{float} {unit};[qPCR|ATP|MPN|other]	total prokaryotes;3.5e7 cells per milliliter;qPCR	X	"number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter"	m	MIXS:0000103	
air	oxygen	oxygen	Oxygen (gas) amount or concentration at the time of sampling	measurement value	{float} {unit}	600 parts per million	X	"milligram per liter, parts per million"	1	MIXS:0000104	
hydrocarbon resources-cores	tot_iron	total iron	Concentration of total iron in the sample	measurement value	{float} {unit}		C	"milligram per liter, milligram per kilogram"	1	MIXS:0000105	
hydrocarbon resources-fluids/swabs	tot_iron	total iron	Concentration of total iron in the sample	measurement value	{float} {unit}		C	"milligram per liter, milligram per kilogram"	1	MIXS:0000105	
hydrocarbon resources-cores	diss_inorg_phosp	dissolved inorganic phosphorus	Concentration of dissolved inorganic phosphorus in the sample	measurement value	{float} {unit}	56.5 micromole per liter	C	"microgram per liter, milligram per liter, parts per million"	1	MIXS:0000106	
hydrocarbon resources-fluids/swabs	diss_inorg_phosp	dissolved inorganic phosphorus	Concentration of dissolved inorganic phosphorus in the sample	measurement value	{float} {unit}	56.5 micromole per liter	C	"microgram per liter, milligram per liter, parts per million"	1	MIXS:0000106	
water	diss_inorg_phosp	dissolved inorganic phosphorus	Concentration of dissolved inorganic phosphorus in the sample	measurement value	{float} {unit}	56.5 micromole per liter	X	"microgram per liter, milligram per liter, parts per million, micromole per liter"	1	MIXS:0000106	
air	pollutants	pollutants	"Pollutant types and, amount or concentrations measured at the time of sampling; can report multiple pollutants by entering numeric values preceded by name of pollutant"	pollutant name;measurement value	{text};{float} {unit}	lead;0.15 microgram per cubic meter	X	"gram, mole per liter, milligram per liter, microgram per cubic meter"	m	MIXS:0000107	
air	air particulate matter concentration	air_PM_concen	"Concentration of substances that remain suspended in the air, and comprise mixtures of organic and inorganic substances (PM10 and PM2.5); can report multiple PM's by entering numeric values preceded by name of PM"	particulate matter name;measurement value	{text};{float} {unit}	PM2.5;10 microgram per cubic meter	X	microgram per cubic meter	m	MIXS:0000108	
food-farm environment	air_PM_concen	air particulate matter concentration	"Concentration of substances that remain suspended in the air, and comprise mixtures of organic and inorganic substances (PM10 and PM2.5); can report multiple PM's by entering numeric values preceded by name of PM"	particulate matter name;measurement value	{text};{float} {unit}	PM2.5;10 microgram per cubic meter	X	micrograms per cubic meter	m	MIXS:0000108	
human-vaginal	samp_salinity	sample salinity	"Salinity is the total concentration of all dissolved salts in a liquid or solid (in the form of an extract obtained by centrifugation) sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater"	measurement value	{float} {unit}	1 milligram per liter	X	"milligram per liter, practical salinity unit, percentage"	1	MIXS:0000109	TRUE
symbiont-associated	samp_salinity	sample salinity	"Salinity is the total concentration of all dissolved salts in a liquid or solid (in the form of an extract obtained by centrifugation) sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater."	measurement value	{float} {unit}	1 milligram per liter	X	"milligram per liter, practical salinity unit, percentage"	1	MIXS:0000109	
agriculture	samp_stor_temp	sample storage temperature	"Temperature at which sample was stored, e.g. -80 degree Celsius."	measurement value	{float} {unit}	-80 degree Celsius	X	degree Celsius	1	MIXS:0000110	
air	samp_store_temp	sample storage temperature	"Temperature at which sample was stored, e.g. -80 degree Celsius"	measurement value	{float} {unit}	-80 degree Celsius	X	degree Celsius	1	MIXS:0000110	
food-animal and animal feed	samp_stor_temp	sample storage temperature	"Temperature at which sample was stored, e.g. -80 degree Celsius."	measurement value	{float} {unit}	-80 degree Celsius	X	degree Celsius	1	MIXS:0000110	
food-farm environment	samp_stor_temp	sample storage temperature	"Temperature at which sample was stored, e.g. -80 degree Celsius."	measurement value	{float} {unit}	-80 degree Celsius	X	degree Celsius	1	MIXS:0000110	
food-food production facility	samp_stor_temp	sample storage temperature	"Temperature at which sample was stored, e.g. -80 degree Celsius."	measurement value	{float} {unit}	-80 degree Celsius	X	degree Celsius	1	MIXS:0000110	
food-human foods	samp_stor_temp	sample storage temperature	"Temperature at which sample was stored, e.g. -80 degree Celsius."	measurement value	{float} {unit}	-80 degree Celsius	X	degree Celsius	1	MIXS:0000110	
host-associated	samp_store_temp	sample storage temperature	"Temperature at which sample was stored, e.g. -80 degree Celsius"	measurement value	{float} {unit}	-80 degree Celsius	X	degree Celsius	1	MIXS:0000110	
human-associated	samp_store_temp	sample storage temperature	"Temperature at which sample was stored, e.g. -80 degree Celsius"	measurement value	{float} {unit}	-80 degree Celsius	X	degree Celsius	1	MIXS:0000110	
human-gut	samp_store_temp	sample storage temperature	"Temperature at which sample was stored, e.g. -80 degree Celsius"	measurement value	{float} {unit}	-80 degree Celsius	X	degree Celsius	1	MIXS:0000110	
human-oral	samp_store_temp	sample storage temperature	"Temperature at which sample was stored, e.g. -80 degree Celsius"	measurement value	{float} {unit}	-80 degree Celsius	X	degree Celsius	1	MIXS:0000110	
human-skin	samp_store_temp	sample storage temperature	"Temperature at which sample was stored, e.g. -80 degree Celsius"	measurement value	{float} {unit}	-80 degree Celsius	X	degree Celsius	1	MIXS:0000110	
human-vaginal	samp_store_temp	sample storage temperature	"Temperature at which sample was stored, e.g. -80 degree Celsius"	measurement value	{float} {unit}	-80 degree Celsius	X	degree Celsius	1	MIXS:0000110	
hydrocarbon resources-cores	samp_store_temp	sample storage temperature	"Temperature at which sample was stored, e.g. -80 degree Celsius"	measurement value	{float} {unit}	-80 degree Celsius	X	degree Celsius	1	MIXS:0000110	
hydrocarbon resources-fluids/swabs	samp_store_temp	sample storage temperature	"Temperature at which sample was stored, e.g. -80 degree Celsius"	measurement value	{float} {unit}	-80 degree Celsius	X	degree Celsius	1	MIXS:0000110	
microbial mat/biofilm	samp_store_temp	sample storage temperature	"Temperature at which sample was stored, e.g. -80 degree Celsius"	measurement value	{float} {unit}	-80 degree Celsius	X	degree Celsius	1	MIXS:0000110	
miscellaneous natural or artificial environment	samp_store_temp	sample storage temperature	"Temperature at which sample was stored, e.g. -80 degree Celsius"	measurement value	{float} {unit}	-80 degree Celsius	X	degree Celsius	1	MIXS:0000110	
plant-associated	samp_store_temp	sample storage temperature	"Temperature at which sample was stored, e.g. -80 degree Celsius"	measurement value	{float} {unit}	-80 degree Celsius	X	degree Celsius	1	MIXS:0000110	
sediment	samp_store_temp	sample storage temperature	"Temperature at which sample was stored, e.g. -80 degree Celsius"	measurement value	{float} {unit}	-80 degree Celsius	X	degree Celsius	1	MIXS:0000110	
symbiont-associated	samp_store_temp	sample storage temperature	"Temperature at which sample was stored, e.g. -80 degree Celsius."	measurement value	{float} {unit}		X	degree Celsius	1	MIXS:0000110	
wastewater/sludge	samp_store_temp	sample storage temperature	"Temperature at which sample was stored, e.g. -80 degree Celsius"	measurement value	{float} {unit}	-80 degree Celsius	X	degree Celsius	1	MIXS:0000110	
water	samp_store_temp	sample storage temperature	"Temperature at which sample was stored, e.g. -80 degree Celsius"	measurement value	{float} {unit}	-80 degree Celsius	X	degree Celsius	1	MIXS:0000110	
agriculture	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}		M	"millliter, gram, milligram"	1	MIXS:0000111	
air	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	X	"millliter, gram, milligram, square centimeter"	1	MIXS:0000111	
food-animal and animal feed	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	X	"milliliter, gram, milligram, square centimeter"	1	MIXS:0000111	
food-farm environment	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	X	"milliliter, gram, milligram, square centimeter"	1	MIXS:0000111	
food-food production facility	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	X	"milliliter, gram, milligram, square centimeter"	1	MIXS:0000111	
food-human foods	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	X	"milliliter, gram, milligram, square centimeter"	1	MIXS:0000111	
host-associated	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	X	"millliter, gram, milligram, square centimeter"	1	MIXS:0000111	
human-associated	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	X	"millliter, gram, milligram, square centimeter"	1	MIXS:0000111	
human-gut	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	X	"millliter, gram, milligram, square centimeter"	1	MIXS:0000111	
human-oral	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	X	"millliter, gram, milligram, square centimeter"	1	MIXS:0000111	
human-skin	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	X	"millliter, gram, milligram, square centimeter"	1	MIXS:0000111	
human-vaginal	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	X	"millliter, gram, milligram, square centimeter"	1	MIXS:0000111	
hydrocarbon resources-cores	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	C	"millliter, gram, milligram, square centimeter"	1	MIXS:0000111	
hydrocarbon resources-fluids/swabs	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	C	"millliter, gram, milligram, square centimeter"	1	MIXS:0000111	
microbial mat/biofilm	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	X	"millliter, gram, milligram, square centimeter"	1	MIXS:0000111	
miscellaneous natural or artificial environment	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	X	"millliter, gram, milligram, square centimeter"	1	MIXS:0000111	
plant-associated	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	X	"millliter, gram, milligram, square centimeter"	1	MIXS:0000111	
sediment	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	X	"millliter, gram, milligram, square centimeter"	1	MIXS:0000111	
soil	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	X	"millliter, gram, milligram, square centimeter"	1	MIXS:0000111	
symbiont-associated	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	"Volume (ml), weight (g) of processed sample, or surface area swabbed from sample for DNA extraction."	measurement value	{float} {unit}		X	"millliter, gram, milligram"	1	MIXS:0000111	
wastewater/sludge	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	X	"millliter, gram, milligram, square centimeter"	1	MIXS:0000111	
water	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	X	"millliter, gram, milligram, square centimeter"	1	MIXS:0000111	
agriculture	solar_irradiance	mean seasonal solar irradiance	The amount of solar energy that arrives at a specific area of a surface during a specific time interval.	measurement value	{float} {unit}	1.36 kilowatts per square meter per day	X	"kilowatts per square meter per day, ergs per square centimeter per second"	m	MIXS:0000112	#209
air	solar_irradiance	solar irradiance	The amount of solar energy that arrives at a specific area of a surface during a specific time interval	measurement value	{float} {unit}	1.36 kilowatts per square meter per day	X	"kilowatts per square meter per day, ergs per square centimeter per second"	1	MIXS:0000112	
food-farm environment	solar_irradiance	mean seasonal solar irradiance	The amount of solar energy that arrives at a specific area of a surface during a specific time interval	measurement value	{float} {unit}	1.36 kilowatts per square meter per day	X	"kilowatts per square meter per day, ergs per square centimeter per second"	m	MIXS:0000112	
agriculture	temp	temperature	Temperature of the sample at the time of sampling.	measurement value	{float} {unit}		M	degree Celsius	1	MIXS:0000113	
air	temp	temperature	Temperature of the sample at the time of sampling	measurement value	{float} {unit}	25 degree Celsius	X	degree Celsius	1	MIXS:0000113	
food-animal and animal feed	temp	temperature	Temperature of the sample at the time of sampling.	measurement value	{float} {unit}	25 degree Celsius	X	degree Celsius	1	MIXS:0000113	
food-farm environment	temp	temperature	Temperature of the sample at the time of sampling.	measurement value	{float} {unit}	25 degree Celsius	X	degree Celsius	1	MIXS:0000113	
food-human foods	temp	temperature	Temperature of the sample at the time of sampling.	measurement value	{float} {unit}	25 degree Celsius	X	degree Celsius	1	MIXS:0000113	
host-associated	temp	temperature	Temperature of the sample at the time of sampling	measurement value	{float} {unit}	25 degree Celsius	X	degree Celsius	1	MIXS:0000113	
human-associated	temp	temperature	Temperature of the sample at the time of sampling	measurement value	{float} {unit}	25 degree Celsius	X	degree Celsius	1	MIXS:0000113	
human-gut	temp	temperature	Temperature of the sample at the time of sampling	measurement value	{float} {unit}	25 degree Celsius	X	degree Celsius	1	MIXS:0000113	
human-oral	temp	temperature	Temperature of the sample at the time of sampling	measurement value	{float} {unit}	25 degree Celsius	X	degree Celsius	1	MIXS:0000113	
human-skin	temp	temperature	Temperature of the sample at the time of sampling	measurement value	{float} {unit}	25 degree Celsius	X	degree Celsius	1	MIXS:0000113	
human-vaginal	temp	temperature	Temperature of the sample at the time of sampling	measurement value	{float} {unit}	25 degree Celsius	X	degree Celsius	1	MIXS:0000113	
hydrocarbon resources-cores	temp	temperature	Temperature of the sample at the time of sampling	measurement value	{float} {unit}	25 degree Celsius	M	degree Celsius	1	MIXS:0000113	
hydrocarbon resources-fluids/swabs	temp	temperature	Temperature of the sample at the time of sampling	measurement value	{float} {unit}	25 degree Celsius	M	degree Celsius	1	MIXS:0000113	
microbial mat/biofilm	temp	temperature	Temperature of the sample at the time of sampling	measurement value	{float} {unit}	25 degree Celsius	X	degree Celsius	1	MIXS:0000113	
miscellaneous natural or artificial environment	temp	temperature	Temperature of the sample at the time of sampling	measurement value	{float} {unit}	25 degree Celsius	X	degree Celsius	1	MIXS:0000113	
plant-associated	temp	temperature	Temperature of the sample at the time of sampling	measurement value	{float} {unit}	25 degree Celsius	X	degree Celsius	1	MIXS:0000113	
sediment	temp	temperature	Temperature of the sample at the time of sampling	measurement value	{float} {unit}	25 degree Celsius	X	degree Celsius	1	MIXS:0000113	
soil	temp	temperature	Temperature of the sample at the time of sampling	measurement value	{float} {unit}	25 degree Celsius	X	degree Celsius	1	MIXS:0000113	
symbiont-associated	temp	temperature	Temperature of the sample at the time of sampling.	measurement value	{float} {unit}	25 degree Celsius	X	degree Celsius	1	MIXS:0000113	
wastewater/sludge	temp	temperature	Temperature of the sample at the time of sampling	measurement value	{float} {unit}	25 degree Celsius	X	degree Celsius	1	MIXS:0000113	
water	temp	temperature	Temperature of the sample at the time of sampling	measurement value	{float} {unit}	25 degree Celsius	X	degree Celsius	1	MIXS:0000113	
air	ventilation_rate	ventilation rate	Ventilation rate of the system in the sampled premises	measurement value	{float} {unit}	750 cubic meter per minute	X	"cubic meter per minute, liters per second"	1	MIXS:0000114	
food-farm environment	ventilation_rate	ventilation rate	Ventilation rate of the system in the sampled premises.	measurement value	{float} {unit}	750 cubic meter per minute	X	"cubic meter per minute, liters per second"	1	MIXS:0000114	
air	volatile_org_comp	volatile organic compounds	Concentration of carbon-based chemicals that easily evaporate at room temperature; can report multiple volatile organic compounds by entering numeric values preceded by name of compound	volatile organic compound name;measurement value	{text};{float} {unit}	formaldehyde;500 nanogram per liter	X	"microgram per cubic meter, parts per million, nanogram per liter"	m	MIXS:0000115	
agriculture	samp_store_dur	sample storage duration	Duration for which the sample was stored	time interval	{interval}		M		1	MIXS:0000116	
air	samp_store_dur	sample storage duration	Duration for which the sample was stored	duration	{duration}	P1Y6M	X		1	MIXS:0000116	
food-animal and animal feed	samp_stor_dur	sample storage duration	Duration for which the sample was stored. Indicate the duration for which the sample was stored written in ISO 8601 format.	duration	{duration}	P1Y6M	X		1	MIXS:0000116	
food-farm environment	samp_stor_dur	sample storage duration	Duration for which the sample was stored. Indicate the duration for which the sample was stored written in ISO 8601 format.	duration	{duration}	P1Y6M	X		1	MIXS:0000116	
food-food production facility	samp_stor_dur	sample storage duration	Duration for which the sample was stored. Indicate the duration for which the sample was stored written in ISO 8601 format.	duration	{duration}	P1Y6M	X		1	MIXS:0000116	
food-human foods	samp_stor_dur	sample storage duration	Duration for which the sample was stored. Indicate the duration for which the sample was stored written in ISO 8601 format.	duration	{duration}	P1Y6M	X		1	MIXS:0000116	
host-associated	samp_store_dur	sample storage duration	Duration for which the sample was stored	duration	{duration}	P1Y6M	X		1	MIXS:0000116	
human-associated	samp_store_dur	sample storage duration	Duration for which the sample was stored	duration	{duration}	P1Y6M	X		1	MIXS:0000116	
human-gut	samp_store_dur	sample storage duration	Duration for which the sample was stored	duration	{duration}	P1Y6M	X		1	MIXS:0000116	
human-oral	samp_store_dur	sample storage duration	Duration for which the sample was stored	duration	{duration}	P1Y6M	X		1	MIXS:0000116	
human-skin	samp_store_dur	sample storage duration	Duration for which the sample was stored	duration	{duration}	P1Y6M	X		1	MIXS:0000116	
human-vaginal	samp_store_dur	sample storage duration	Duration for which the sample was stored	duration	{duration}	P1Y6M	X		1	MIXS:0000116	
hydrocarbon resources-cores	samp_store_dur	sample storage duration	Duration for which the sample was stored	duration	{duration}	P1Y6M	X		1	MIXS:0000116	
hydrocarbon resources-fluids/swabs	samp_store_dur	sample storage duration	Duration for which the sample was stored	duration	{duration}	P1Y6M	X		1	MIXS:0000116	
microbial mat/biofilm	samp_store_dur	sample storage duration	Duration for which the sample was stored	duration	{duration}	P1Y6M	X		1	MIXS:0000116	
miscellaneous natural or artificial environment	samp_store_dur	sample storage duration	Duration for which the sample was stored	duration	{duration}	P1Y6M	X		1	MIXS:0000116	
plant-associated	samp_store_dur	sample storage duration	Duration for which the sample was stored	duration	{duration}	P1Y6M	X		1	MIXS:0000116	
sediment	samp_store_dur	sample storage duration	Duration for which the sample was stored	duration	{duration}	P1Y6M	X		1	MIXS:0000116	
symbiont-associated	samp_store_dur	sample storage duration	Duration for which the sample was stored.	duration	{duration}	P1Y6M	X		1	MIXS:0000116	
wastewater/sludge	samp_store_dur	sample storage duration	Duration for which the sample was stored	duration	{duration}	P1Y6M	X		1	MIXS:0000116	
water	samp_store_dur	sample storage duration	Duration for which the sample was stored	duration	{duration}	P1Y6M	X		1	MIXS:0000116	
hydrocarbon resources-cores	tot_phosp	total phosphorus	"Total phosphorus concentration in the sample, calculated by: total phosphorus = total dissolved phosphorus + particulate phosphorus"	measurement value	{float} {unit}	0.03 milligram per liter	X	"micromole per liter, milligram per liter, parts per million"	1	MIXS:0000117	
hydrocarbon resources-fluids/swabs	tot_phosp	total phosphorus	"Total phosphorus concentration in the sample, calculated by: total phosphorus = total dissolved phosphorus + particulate phosphorus"	measurement value	{float} {unit}	0.03 milligram per liter	X	"micromole per liter, milligram per liter, parts per million"	1	MIXS:0000117	
