class	Structured comment name	Requirement	schemasheets cardinality	cardinality	recommended	in_subset	github ticket	Example
MimarksC	num_replicons	-	-	-		core_tab		
MimarksS	num_replicons	-	-	-		core_tab		
Mims	num_replicons	-	-	-		core_tab		
Misag	num_replicons	-	-	-		core_tab		
Miuvig	num_replicons	-	-	-		core_tab		
MigsBa	number_contig	M	M	M		core_tab		
MigsEu	number_contig	M	M	M		core_tab		
MigsOrg	number_contig	X	O	O		core_tab		
MigsPl	number_contig	X	O	O		core_tab		
MigsVi	number_contig	X	O	O		core_tab		
Mimag	number_contig	X	O	O		core_tab		
MimarksC	number_contig	-	-	-		core_tab		
MimarksS	number_contig	-	-	-		core_tab		
Mims	number_contig	C	EM		TRUE	core_tab		
Misag	number_contig	X	O	O		core_tab		
Miuvig	number_contig	M	M	M		core_tab		
MigsBa	otu_class_appr	-	-	-		core_tab		
MigsEu	otu_class_appr	-	-	-		core_tab		
MigsOrg	otu_class_appr	-	-	-		core_tab		
MigsPl	otu_class_appr	-	-	-		core_tab		
MigsVi	otu_class_appr	-	-	-		core_tab		
Mimag	otu_class_appr	-	-	-		core_tab		
MimarksC	otu_class_appr	-	-	-		core_tab		
MimarksS	otu_class_appr	-	-	-		core_tab		
Mims	otu_class_appr	-	-	-		core_tab		
Misag	otu_class_appr	-	-	-		core_tab		
Miuvig	otu_class_appr	C	EM		TRUE	core_tab		
MigsBa	otu_db	-	-	-		core_tab		
MigsEu	otu_db	-	-	-		core_tab		
MigsOrg	otu_db	-	-	-		core_tab		
MigsPl	otu_db	-	-	-		core_tab		
MigsVi	otu_db	-	-	-		core_tab		
Mimag	otu_db	-	-	-		core_tab		
MimarksC	otu_db	-	-	-		core_tab		
MimarksS	otu_db	-	-	-		core_tab		
Mims	otu_db	-	-	-		core_tab		
Misag	otu_db	-	-	-		core_tab		
Miuvig	otu_db	C	EM		TRUE	core_tab		
MigsBa	otu_seq_comp_appr	-	-	-		core_tab		
MigsEu	otu_seq_comp_appr	-	-	-		core_tab		
MigsOrg	otu_seq_comp_appr	-	-	-		core_tab		
MigsPl	otu_seq_comp_appr	-	-	-		core_tab		
MigsVi	otu_seq_comp_appr	-	-	-		core_tab		
Mimag	otu_seq_comp_appr	-	-	-		core_tab		
MimarksC	otu_seq_comp_appr	-	-	-		core_tab		
MimarksS	otu_seq_comp_appr	-	-	-		core_tab		
Mims	otu_seq_comp_appr	-	-	-		core_tab		
Misag	otu_seq_comp_appr	-	-	-		core_tab		
Miuvig	otu_seq_comp_appr	C	EM		TRUE	core_tab		
MigsBa	pathogenicity	C	EM		TRUE	core_tab		
MigsEu	pathogenicity	C	EM		TRUE	core_tab		
MigsOrg	pathogenicity	-	-	-		core_tab		
MigsPl	pathogenicity	-	-	-		core_tab		
MigsVi	pathogenicity	C	EM		TRUE	core_tab		
Mimag	pathogenicity	-	-	-		core_tab		
MimarksC	pathogenicity	-	-	-		core_tab		
MimarksS	pathogenicity	-	-	-		core_tab		
Mims	pathogenicity	-	-	-		core_tab		
Misag	pathogenicity	-	-	-		core_tab		
Miuvig	pathogenicity	X	O	O		core_tab		
MigsBa	pcr_cond	-	-	-		core_tab		
MigsEu	pcr_cond	-	-	-		core_tab		
MigsOrg	pcr_cond	-	-	-		core_tab		
MigsPl	pcr_cond	-	-	-		core_tab		
MigsVi	pcr_cond	-	-	-		core_tab		
Mimag	pcr_cond	-	-	-		core_tab		
MimarksC	pcr_cond	C	EM		TRUE	core_tab		
MimarksS	pcr_cond	C	EM		TRUE	core_tab		
Mims	pcr_cond	-	-	-		core_tab		
Misag	pcr_cond	-	-	-		core_tab		
Miuvig	pcr_cond	-	-	-		core_tab		
MigsBa	pcr_primers	-	-	-		core_tab		
MigsEu	pcr_primers	-	-	-		core_tab		
MigsOrg	pcr_primers	-	-	-		core_tab		
MigsPl	pcr_primers	-	-	-		core_tab		
MigsVi	pcr_primers	-	-	-		core_tab		
Mimag	pcr_primers	-	-	-		core_tab		
MimarksC	pcr_primers	C	EM		TRUE	core_tab		
MimarksS	pcr_primers	C	EM		TRUE	core_tab		
Mims	pcr_primers	-	-	-		core_tab		
Misag	pcr_primers	-	-	-		core_tab		
Miuvig	pcr_primers	-	-	-		core_tab		
MigsBa	ploidy	-	-	-		core_tab		
MigsEu	ploidy	X	O	O		core_tab		
MigsOrg	ploidy	-	-	-		core_tab		
MigsPl	ploidy	-	-	-		core_tab		
MigsVi	ploidy	-	-	-		core_tab		
Mimag	ploidy	-	-	-		core_tab		
MimarksC	ploidy	-	-	-		core_tab		
MimarksS	ploidy	-	-	-		core_tab		
Mims	ploidy	-	-	-		core_tab		
Misag	ploidy	-	-	-		core_tab		
Miuvig	ploidy	-	-	-		core_tab		
MigsBa	pos_cont_type	C	EM		TRUE	core_tab		
MigsEu	pos_cont_type	C	EM		TRUE	core_tab		
MigsOrg	pos_cont_type	C	EM		TRUE	core_tab		
MigsPl	pos_cont_type	C	EM		TRUE	core_tab		
MigsVi	pos_cont_type	C	EM		TRUE	core_tab		
Mimag	pos_cont_type	C	EM		TRUE	core_tab		
MimarksC	pos_cont_type	C	EM		TRUE	core_tab		
MimarksS	pos_cont_type	C	EM		TRUE	core_tab		
Mims	pos_cont_type	C	EM		TRUE	core_tab		
Misag	pos_cont_type	C	EM		TRUE	core_tab		
Miuvig	pos_cont_type	C	EM		TRUE	core_tab		
MigsBa	pred_genome_struc	-	-	-		core_tab		
MigsEu	pred_genome_struc	-	-	-		core_tab		
MigsOrg	pred_genome_struc	-	-	-		core_tab		
MigsPl	pred_genome_struc	-	-	-		core_tab		
MigsVi	pred_genome_struc	-	-	-		core_tab		
Mimag	pred_genome_struc	-	-	-		core_tab		
MimarksC	pred_genome_struc	-	-	-		core_tab		
MimarksS	pred_genome_struc	-	-	-		core_tab		
Mims	pred_genome_struc	-	-	-		core_tab		
Misag	pred_genome_struc	-	-	-		core_tab		
Miuvig	pred_genome_struc	M	M	M		core_tab		
MigsBa	pred_genome_type	-	-	-		core_tab		
MigsEu	pred_genome_type	-	-	-		core_tab		
MigsOrg	pred_genome_type	-	-	-		core_tab		
MigsPl	pred_genome_type	-	-	-		core_tab		
MigsVi	pred_genome_type	-	-	-		core_tab		
Mimag	pred_genome_type	-	-	-		core_tab		
MimarksC	pred_genome_type	-	-	-		core_tab		
MimarksS	pred_genome_type	-	-	-		core_tab		
Mims	pred_genome_type	-	-	-		core_tab		
Misag	pred_genome_type	-	-	-		core_tab		
Miuvig	pred_genome_type	M	M	M		core_tab		
MigsBa	project_name	M	M	M		core_tab		
MigsEu	project_name	M	M	M		core_tab		
MigsOrg	project_name	M	M	M		core_tab		
MigsPl	project_name	M	M	M		core_tab		
MigsVi	project_name	M	M	M		core_tab		
Mimag	project_name	M	M	M		core_tab		
MimarksC	project_name	M	M	M		core_tab		
MimarksS	project_name	M	M	M		core_tab		
Mims	project_name	M	M	M		core_tab		
Misag	project_name	M	M	M		core_tab		
Miuvig	project_name	M	M	M		core_tab		
MigsBa	propagation	-	-	-		core_tab		
MigsEu	propagation	C	EM		TRUE	core_tab		
MigsOrg	propagation	-	-	-		core_tab		
MigsPl	propagation	M	M	M		core_tab		
MigsVi	propagation	M	M	M		core_tab		
Mimag	propagation	-	-	-		core_tab		
MimarksC	propagation	-	-	-		core_tab		
MimarksS	propagation	-	-	-		core_tab		
Mims	propagation	-	-	-		core_tab		
Misag	propagation	-	-	-		core_tab		
Miuvig	propagation	-	-	-		core_tab		
MigsBa	reassembly_bin	-	-	-		core_tab		
MigsEu	reassembly_bin	-	-	-		core_tab		
MigsOrg	reassembly_bin	-	-	-		core_tab		
MigsPl	reassembly_bin	-	-	-		core_tab		
MigsVi	reassembly_bin	-	-	-		core_tab		
Mimag	reassembly_bin	X	O	O		core_tab		
MimarksC	reassembly_bin	-	-	-		core_tab		
MimarksS	reassembly_bin	-	-	-		core_tab		
Mims	reassembly_bin	-	-	-		core_tab		
Misag	reassembly_bin	-	-	-		core_tab		
Miuvig	reassembly_bin	C	EM		TRUE	core_tab		
MigsBa	ref_biomaterial	M	M	M		core_tab		
MigsEu	ref_biomaterial	X	O	O		core_tab		
MigsOrg	ref_biomaterial	X	O	O		core_tab		
MigsPl	ref_biomaterial	X	O	O		core_tab		
MigsVi	ref_biomaterial	X	O	O		core_tab		
Mimag	ref_biomaterial	X	O	O		core_tab		
MimarksC	ref_biomaterial	-	-	-		core_tab		
MimarksS	ref_biomaterial	-	-	-		core_tab		
Mims	ref_biomaterial	X	O	O		core_tab		
Misag	ref_biomaterial	X	O	O		core_tab		
Miuvig	ref_biomaterial	X	O	O		core_tab		
MigsBa	ref_db	X	O	O		core_tab		
MigsEu	ref_db	X	O	O		core_tab		
MigsOrg	ref_db	X	O	O		core_tab		
MigsPl	ref_db	X	O	O		core_tab		
MigsVi	ref_db	X	O	O		core_tab		
Mimag	ref_db	X	O	O		core_tab		
MimarksC	ref_db	-	-	-		core_tab		
MimarksS	ref_db	-	-	-		core_tab		
Mims	ref_db	X	O	O		core_tab		
Misag	ref_db	X	O	O		core_tab		
Miuvig	ref_db	C	EM		TRUE	core_tab		
MigsBa	rel_to_oxygen	C	EM		TRUE	core_tab		
MigsEu	rel_to_oxygen	-	-	-		core_tab		
MigsOrg	rel_to_oxygen	-	-	-		core_tab		
MigsPl	rel_to_oxygen	-	-	-		core_tab		
MigsVi	rel_to_oxygen	-	-	-		core_tab		
Mimag	rel_to_oxygen	X	O	O		core_tab		
MimarksC	rel_to_oxygen	C	EM		TRUE	core_tab		
MimarksS	rel_to_oxygen	X	O	O		core_tab		
Mims	rel_to_oxygen	X	O	O		core_tab		
Misag	rel_to_oxygen	X	O	O		core_tab		
Miuvig	rel_to_oxygen	-	-	-		core_tab		
MigsBa	samp_collec_device	X	O	O		core_tab		
MigsEu	samp_collec_device	X	O	O		core_tab		
MigsOrg	samp_collec_device	X	O	O		core_tab		
MigsPl	samp_collec_device	X	O	O		core_tab		
MigsVi	samp_collec_device	X	O	O		core_tab		
Mimag	samp_collec_device	C	EM		TRUE	core_tab		
MimarksC	samp_collec_device	X	O	O		core_tab		
MimarksS	samp_collec_device	C	EM		TRUE	core_tab		
Mims	samp_collec_device	C	EM		TRUE	core_tab		
Misag	samp_collec_device	C	EM		TRUE	core_tab		
Miuvig	samp_collec_device	C	EM		TRUE	core_tab		
MigsBa	samp_collec_method	X	O	O		core_tab		
MigsEu	samp_collec_method	X	O	O		core_tab		
MigsOrg	samp_collec_method	X	O	O		core_tab		
MigsPl	samp_collec_method	X	O	O		core_tab		
MigsVi	samp_collec_method	X	O	O		core_tab		
Mimag	samp_collec_method	C	EM		TRUE	core_tab		
MimarksC	samp_collec_method	X	O	O		core_tab		
MimarksS	samp_collec_method	C	EM		TRUE	core_tab		
Mims	samp_collec_method	C	EM		TRUE	core_tab		
Misag	samp_collec_method	C	EM		TRUE	core_tab		
Miuvig	samp_collec_method	C	EM		TRUE	core_tab		
MigsBa	samp_mat_process	X	O	O		core_tab		
MigsEu	samp_mat_process	X	O	O		core_tab		
MigsOrg	samp_mat_process	X	O	O		core_tab		
MigsPl	samp_mat_process	X	O	O		core_tab		
MigsVi	samp_mat_process	X	O	O		core_tab		
Mimag	samp_mat_process	C	EM		TRUE	core_tab		
MimarksC	samp_mat_process	C	EM		TRUE	core_tab		
MimarksS	samp_mat_process	C	EM		TRUE	core_tab		
Mims	samp_mat_process	C	EM		TRUE	core_tab		
Misag	samp_mat_process	C	EM		TRUE	core_tab		
Miuvig	samp_mat_process	C	EM		TRUE	core_tab		
MigsBa	samp_name	M	M	M		core_tab		
MigsEu	samp_name	M	M	M		core_tab		
MigsOrg	samp_name	M	M	M		core_tab		
MigsPl	samp_name	M	M	M		core_tab		
MigsVi	samp_name	M	M	M		core_tab		
Mimag	samp_name	M	M	M		core_tab		
MimarksC	samp_name	M	M	M		core_tab		
MimarksS	samp_name	M	M	M		core_tab		
Mims	samp_name	M	M	M		core_tab		
Misag	samp_name	M	M	M		core_tab		
Miuvig	samp_name	M	M	M		core_tab		
MigsBa	samp_size	X	O	O		core_tab		
MigsEu	samp_size	X	O	O		core_tab		
MigsOrg	samp_size	X	O	O		core_tab		
MigsPl	samp_size	X	O	O		core_tab		
MigsVi	samp_size	X	O	O		core_tab		
Mimag	samp_size	C	EM		TRUE	core_tab		
MimarksC	samp_size	X	O	O		core_tab		
MimarksS	samp_size	C	EM		TRUE	core_tab		
Mims	samp_size	C	EM		TRUE	core_tab		
Misag	samp_size	C	EM		TRUE	core_tab		
Miuvig	samp_size	C	EM		TRUE	core_tab		
MigsBa	samp_taxon_id	M	M	M		core_tab		
MigsEu	samp_taxon_id	M	M	M		core_tab		
MigsOrg	samp_taxon_id	M	M	M		core_tab		
MigsPl	samp_taxon_id	M	M	M		core_tab		
MigsVi	samp_taxon_id	M	M	M		core_tab		
Mimag	samp_taxon_id	M	M	M		core_tab		
MimarksC	samp_taxon_id	M	M	M		core_tab		
MimarksS	samp_taxon_id	M	M	M		core_tab		
Mims	samp_taxon_id	M	M	M		core_tab		
Misag	samp_taxon_id	M	M	M		core_tab		
Miuvig	samp_taxon_id	M	M	M		core_tab		
MigsBa	samp_vol_we_dna_ext	X	O	O		core_tab		
MigsEu	samp_vol_we_dna_ext	X	O	O		core_tab		
MigsOrg	samp_vol_we_dna_ext	X	O	O		core_tab		
MigsPl	samp_vol_we_dna_ext	X	O	O		core_tab		
MigsVi	samp_vol_we_dna_ext	X	O	O		core_tab		
Mimag	samp_vol_we_dna_ext	X	O	O		core_tab		
MimarksC	samp_vol_we_dna_ext	X	O	O		core_tab		
MimarksS	samp_vol_we_dna_ext	X	O	O		core_tab		
Mims	samp_vol_we_dna_ext	X	O	O		core_tab		
Misag	samp_vol_we_dna_ext	X	O	O		core_tab		
Miuvig	samp_vol_we_dna_ext	X	O	O		core_tab		
MigsBa	seq_meth	M	M	M		core_tab		
MigsEu	seq_meth	M	M	M		core_tab		
MigsOrg	seq_meth	M	M	M		core_tab		
MigsPl	seq_meth	M	M	M		core_tab		
MigsVi	seq_meth	M	M	M		core_tab		
Mimag	seq_meth	M	M	M		core_tab		
MimarksC	seq_meth	M	M	M		core_tab		
MimarksS	seq_meth	M	M	M		core_tab		
Mims	seq_meth	M	M	M		core_tab		
Misag	seq_meth	M	M	M		core_tab		
Miuvig	seq_meth	M	M	M		core_tab		
MigsBa	seq_quality_check	-	-	-		core_tab		
MigsEu	seq_quality_check	-	-	-		core_tab		
MigsOrg	seq_quality_check	-	-	-		core_tab		
MigsPl	seq_quality_check	-	-	-		core_tab		
MigsVi	seq_quality_check	-	-	-		core_tab		
Mimag	seq_quality_check	-	-	-		core_tab		
MimarksC	seq_quality_check	C	EM		TRUE	core_tab		
MimarksS	seq_quality_check	C	EM		TRUE	core_tab		
Mims	seq_quality_check	-	-	-		core_tab		
Misag	seq_quality_check	-	-	-		core_tab		
Miuvig	seq_quality_check	-	-	-		core_tab		
MigsBa	sim_search_meth	X	O	O		core_tab		
MigsEu	sim_search_meth	X	O	O		core_tab		
MigsOrg	sim_search_meth	X	O	O		core_tab		
MigsPl	sim_search_meth	X	O	O		core_tab		
MigsVi	sim_search_meth	X	O	O		core_tab		
Mimag	sim_search_meth	X	O	O		core_tab		
MimarksC	sim_search_meth	-	-	-		core_tab		
MimarksS	sim_search_meth	-	-	-		core_tab		
Mims	sim_search_meth	X	O	O		core_tab		
Misag	sim_search_meth	X	O	O		core_tab		
Miuvig	sim_search_meth	C	EM		TRUE	core_tab		
MigsBa	single_cell_lysis_appr	-	-	-		core_tab		
MigsEu	single_cell_lysis_appr	-	-	-		core_tab		
MigsOrg	single_cell_lysis_appr	-	-	-		core_tab		
MigsPl	single_cell_lysis_appr	-	-	-		core_tab		
MigsVi	single_cell_lysis_appr	-	-	-		core_tab		
Mimag	single_cell_lysis_appr	-	-	-		core_tab		
MimarksC	single_cell_lysis_appr	-	-	-		core_tab		
MimarksS	single_cell_lysis_appr	-	-	-		core_tab		
Mims	single_cell_lysis_appr	-	-	-		core_tab		
Misag	single_cell_lysis_appr	M	M	M		core_tab		
Miuvig	single_cell_lysis_appr	C	EM		TRUE	core_tab		
MigsBa	single_cell_lysis_prot	-	-	-		core_tab		
MigsEu	single_cell_lysis_prot	-	-	-		core_tab		
MigsOrg	single_cell_lysis_prot	-	-	-		core_tab		
MigsPl	single_cell_lysis_prot	-	-	-		core_tab		
MigsVi	single_cell_lysis_prot	-	-	-		core_tab		
Mimag	single_cell_lysis_prot	-	-	-		core_tab		
MimarksC	single_cell_lysis_prot	-	-	-		core_tab		
MimarksS	single_cell_lysis_prot	-	-	-		core_tab		
Mims	single_cell_lysis_prot	-	-	-		core_tab		
Misag	single_cell_lysis_prot	X	O	O		core_tab		
Miuvig	single_cell_lysis_prot	C	EM		TRUE	core_tab		
MigsBa	size_frac	-	-	-		core_tab		
MigsEu	size_frac	-	-	-		core_tab		
MigsOrg	size_frac	-	-	-		core_tab		
MigsPl	size_frac	-	-	-		core_tab		
MigsVi	size_frac	-	-	-		core_tab		
Mimag	size_frac	X	O	O		core_tab		
MimarksC	size_frac	-	-	-		core_tab		
MimarksS	size_frac	X	O	O		core_tab		
Mims	size_frac	X	O	O		core_tab		
Misag	size_frac	X	O	O		core_tab		
Miuvig	size_frac	C	EM		TRUE	core_tab		
MigsBa	sop	C	EM		TRUE	core_tab		
MigsEu	sop	C	EM		TRUE	core_tab		
MigsOrg	sop	C	EM		TRUE	core_tab		
MigsPl	sop	C	EM		TRUE	core_tab		
MigsVi	sop	C	EM		TRUE	core_tab		
Mimag	sop	C	EM		TRUE	core_tab		
MimarksC	sop	C	EM		TRUE	core_tab		
MimarksS	sop	C	EM		TRUE	core_tab		
Mims	sop	C	EM		TRUE	core_tab		
Misag	sop	C	EM		TRUE	core_tab		
Miuvig	sop	C	EM		TRUE	core_tab		
MigsBa	sort_tech	-	-	-		core_tab		
MigsEu	sort_tech	-	-	-		core_tab		
MigsOrg	sort_tech	-	-	-		core_tab		
MigsPl	sort_tech	-	-	-		core_tab		
MigsVi	sort_tech	-	-	-		core_tab		
Mimag	sort_tech	-	-	-		core_tab		
MimarksC	sort_tech	-	-	-		core_tab		
MimarksS	sort_tech	-	-	-		core_tab		
Mims	sort_tech	-	-	-		core_tab		
Misag	sort_tech	M	M	M		core_tab		
Miuvig	sort_tech	C	EM		TRUE	core_tab		
MigsBa	source_mat_id	C	EM		TRUE	core_tab		
MigsEu	source_mat_id	C	EM		TRUE	core_tab		
MigsOrg	source_mat_id	C	EM		TRUE	core_tab		
MigsPl	source_mat_id	C	EM		TRUE	core_tab		
MigsVi	source_mat_id	C	EM		TRUE	core_tab		
Mimag	source_mat_id	C	EM		TRUE	core_tab		
MimarksC	source_mat_id	C	EM		TRUE	core_tab		
MimarksS	source_mat_id	C	EM		TRUE	core_tab		
Mims	source_mat_id	C	EM		TRUE	core_tab		
Misag	source_mat_id	C	EM		TRUE	core_tab		
Miuvig	source_mat_id	C	EM		TRUE	core_tab		
MigsBa	source_uvig	-	-	-		core_tab		
MigsEu	source_uvig	-	-	-		core_tab		
MigsOrg	source_uvig	-	-	-		core_tab		
MigsPl	source_uvig	-	-	-		core_tab		
MigsVi	source_uvig	-	-	-		core_tab		
Mimag	source_uvig	-	-	-		core_tab		
MimarksC	source_uvig	-	-	-		core_tab		
MimarksS	source_uvig	-	-	-		core_tab		
Mims	source_uvig	-	-	-		core_tab		
Misag	source_uvig	-	-	-		core_tab		
Miuvig	source_uvig	M	M	M		core_tab		
MigsBa	specific_host	C	EM		TRUE	core_tab		
MigsEu	specific_host	X	O	O		core_tab		
MigsOrg	specific_host	-	-	-		core_tab		
MigsPl	specific_host	C	EM		TRUE	core_tab		
MigsVi	specific_host	C	EM		TRUE	core_tab		
Mimag	specific_host	-	-	-		core_tab		
MimarksC	specific_host	-	-	-		core_tab		
MimarksS	specific_host	-	-	-		core_tab		
Mims	specific_host	-	-	-		core_tab		
Misag	specific_host	-	-	-		core_tab		
Miuvig	specific_host	X	O	O		core_tab		
MigsBa	subspecf_gen_lin	C	EM		TRUE	core_tab		
MigsEu	subspecf_gen_lin	C	EM		TRUE	core_tab		
MigsOrg	subspecf_gen_lin	C	EM		TRUE	core_tab		
MigsPl	subspecf_gen_lin	C	EM		TRUE	core_tab		
MigsVi	subspecf_gen_lin	C	EM		TRUE	core_tab		
Mimag	subspecf_gen_lin	-	-	-		core_tab		
MimarksC	subspecf_gen_lin	C	EM		TRUE	core_tab		
MimarksS	subspecf_gen_lin	-	-	-		core_tab		
Mims	subspecf_gen_lin	-	-	-		core_tab		
Misag	subspecf_gen_lin	-	-	-		core_tab		
Miuvig	subspecf_gen_lin	-	-	-		core_tab		
MigsBa	target_gene	-	-	-		core_tab		
MigsEu	target_gene	-	-	-		core_tab		
MigsOrg	target_gene	-	-	-		core_tab		
MigsPl	target_gene	-	-	-		core_tab		
MigsVi	target_gene	-	-	-		core_tab		
Mimag	target_gene	-	-	-		core_tab		
MimarksC	target_gene	M	M	M		core_tab		
MimarksS	target_gene	M	M	M		core_tab		
Mims	target_gene	-	-	-		core_tab		
Misag	target_gene	-	-	-		core_tab		
Miuvig	target_gene	-	-	-		core_tab		
MigsBa	target_subfragment	-	-	-		core_tab		
MigsEu	target_subfragment	-	-	-		core_tab		
MigsOrg	target_subfragment	-	-	-		core_tab		
MigsPl	target_subfragment	-	-	-		core_tab		
MigsVi	target_subfragment	-	-	-		core_tab		
Mimag	target_subfragment	-	-	-		core_tab		
MimarksC	target_subfragment	C	EM		TRUE	core_tab		
MimarksS	target_subfragment	C	EM		TRUE	core_tab		
Mims	target_subfragment	-	-	-		core_tab		
Misag	target_subfragment	-	-	-		core_tab		
Miuvig	target_subfragment	-	-	-		core_tab		
MigsBa	tax_class	X	O	O		core_tab		
MigsEu	tax_class	X	O	O		core_tab		
MigsOrg	tax_class	X	O	O		core_tab		
MigsPl	tax_class	X	O	O		core_tab		
MigsVi	tax_class	X	O	O		core_tab		
Mimag	tax_class	X	O	O		core_tab		
MimarksC	tax_class	-	-	-		core_tab		
MimarksS	tax_class	-	-	-		core_tab		
Mims	tax_class	X	O	O		core_tab		
Misag	tax_class	X	O	O		core_tab		
Miuvig	tax_class	C	EM		TRUE	core_tab		
MigsBa	tax_ident	C	EM		TRUE	core_tab		
MigsEu	tax_ident	C	EM		TRUE	core_tab		
MigsOrg	tax_ident	C	EM		TRUE	core_tab		
MigsPl	tax_ident	C	EM		TRUE	core_tab		
MigsVi	tax_ident	C	EM		TRUE	core_tab		
Mimag	tax_ident	M	M	M		core_tab		
MimarksC	tax_ident	-	-	-		core_tab		
MimarksS	tax_ident	-	-	-		core_tab		
Mims	tax_ident	-	-	-		core_tab		
Misag	tax_ident	M	M	M		core_tab		
Miuvig	tax_ident	X	O	O		core_tab		
MigsBa	temp	E	E+		TRUE	core_tab		
MigsEu	temp	E	E+		TRUE	core_tab		
MigsOrg	temp	E	E+		TRUE	core_tab		
MigsPl	temp	E	E+		TRUE	core_tab		
MigsVi	temp	E	E+		TRUE	core_tab		
Mimag	temp	E	E+		TRUE	core_tab		
MimarksC	temp	E	E+		TRUE	core_tab		
MimarksS	temp	E	E+		TRUE	core_tab		
Mims	temp	E	E+		TRUE	core_tab		
Misag	temp	E	E+		TRUE	core_tab		
Miuvig	temp	E	E+		TRUE	core_tab		
MigsBa	trna_ext_software	-	-	-		core_tab		
MigsEu	trna_ext_software	-	-	-		core_tab		
MigsOrg	trna_ext_software	-	-	-		core_tab		
MigsPl	trna_ext_software	-	-	-		core_tab		
MigsVi	trna_ext_software	-	-	-		core_tab		
Mimag	trna_ext_software	X	O	O		core_tab		
MimarksC	trna_ext_software	-	-	-		core_tab		
MimarksS	trna_ext_software	-	-	-		core_tab		
Mims	trna_ext_software	-	-	-		core_tab		
Misag	trna_ext_software	X	O	O		core_tab		
Miuvig	trna_ext_software	X	O	O		core_tab		
MigsBa	trnas	-	-	-		core_tab		
MigsEu	trnas	-	-	-		core_tab		
MigsOrg	trnas	-	-	-		core_tab		
MigsPl	trnas	-	-	-		core_tab		
MigsVi	trnas	-	-	-		core_tab		
Mimag	trnas	X	O	O		core_tab		
MimarksC	trnas	-	-	-		core_tab		
MimarksS	trnas	-	-	-		core_tab		
Mims	trnas	-	-	-		core_tab		
Misag	trnas	X	O	O		core_tab		
Miuvig	trnas	X	O	O		core_tab		
MigsBa	trophic_level	C	EM		TRUE	core_tab		
MigsEu	trophic_level	C	EM		TRUE	core_tab		
MigsOrg	trophic_level	-	-	-		core_tab		
MigsPl	trophic_level	-	-	-		core_tab		
MigsVi	trophic_level	-	-	-		core_tab		
Mimag	trophic_level	-	-	-		core_tab		
MimarksC	trophic_level	C	EM		TRUE	core_tab		
MimarksS	trophic_level	-	-	-		core_tab		
Mims	trophic_level	-	-	-		core_tab		
Misag	trophic_level	-	-	-		core_tab		
Miuvig	trophic_level	-	-	-		core_tab		
MigsBa	vir_ident_software	-	-	-		core_tab		
MigsEu	vir_ident_software	-	-	-		core_tab		
MigsOrg	vir_ident_software	-	-	-		core_tab		
MigsPl	vir_ident_software	-	-	-		core_tab		
MigsVi	vir_ident_software	-	-	-		core_tab		
Mimag	vir_ident_software	-	-	-		core_tab		
MimarksC	vir_ident_software	-	-	-		core_tab		
MimarksS	vir_ident_software	-	-	-		core_tab		
Mims	vir_ident_software	-	-	-		core_tab		
Misag	vir_ident_software	-	-	-		core_tab		
Miuvig	vir_ident_software	M	M	M		core_tab		
MigsBa	virus_enrich_appr	-	-	-		core_tab		
MigsEu	virus_enrich_appr	-	-	-		core_tab		
MigsOrg	virus_enrich_appr	-	-	-		core_tab		
MigsPl	virus_enrich_appr	-	-	-		core_tab		
MigsVi	virus_enrich_appr	C	EM		TRUE	core_tab		
Mimag	virus_enrich_appr	-	-	-		core_tab		
MimarksC	virus_enrich_appr	-	-	-		core_tab		
MimarksS	virus_enrich_appr	-	-	-		core_tab		
Mims	virus_enrich_appr	-	-	-		core_tab		
Misag	virus_enrich_appr	-	-	-		core_tab		
Miuvig	virus_enrich_appr	M	M	M		core_tab		
MigsBa	wga_amp_appr	-	-	-		core_tab		
MigsEu	wga_amp_appr	-	-	-		core_tab		
MigsOrg	wga_amp_appr	-	-	-		core_tab		
MigsPl	wga_amp_appr	-	-	-		core_tab		
MigsVi	wga_amp_appr	-	-	-		core_tab		
Mimag	wga_amp_appr	-	-	-		core_tab		
MimarksC	wga_amp_appr	-	-	-		core_tab		
MimarksS	wga_amp_appr	-	-	-		core_tab		
Mims	wga_amp_appr	-	-	-		core_tab		
Misag	wga_amp_appr	M	M	M		core_tab		
Miuvig	wga_amp_appr	C	EM		TRUE	core_tab		
MigsBa	wga_amp_kit	-	-	-		core_tab		
MigsEu	wga_amp_kit	-	-	-		core_tab		
MigsOrg	wga_amp_kit	-	-	-		core_tab		
MigsPl	wga_amp_kit	-	-	-		core_tab		
MigsVi	wga_amp_kit	-	-	-		core_tab		
Mimag	wga_amp_kit	-	-	-		core_tab		
MimarksC	wga_amp_kit	-	-	-		core_tab		
MimarksS	wga_amp_kit	-	-	-		core_tab		
Mims	wga_amp_kit	-	-	-		core_tab		
Misag	wga_amp_kit	X	O	O		core_tab		
Miuvig	wga_amp_kit	C	EM		TRUE	core_tab		
Agriculture	adapters	M				packages_tab		
Agriculture	adjacent_environment	X				packages_tab	#212	estuarine biome [ENVO:01000020]
Agriculture	agrochem_addition	X				packages_tab		
Agriculture	ances_data	X				packages_tab		A/3*B
Agriculture	anim_water_method	X				packages_tab		water trough [EOL:0001618]
Agriculture	annot	C				packages_tab		
Agriculture	annual_precpt	X				packages_tab	#226	
Agriculture	annual_temp	X				packages_tab	#225	12.5 degree Celsius
Agriculture	assembly_name	M				packages_tab		"HuRef, JCVI_ISG_i3_1.0"
