checklist	Structured comment name	Example	Requirement	schemasheets cardinality	cardinality	recommended	github ticket
Misag	project_name		M	M	M		
Miuvig	project_name		M	M	M		
MigsBa	propagation		-	-	-		
MigsEu	propagation		C	EM		TRUE	
MigsOrg	propagation		-	-	-		
MigsPl	propagation		M	M	M		
MigsVi	propagation		M	M	M		
Mimag	propagation		-	-	-		
MimarksC	propagation		-	-	-		
MimarksS	propagation		-	-	-		
Mims	propagation		-	-	-		
Misag	propagation		-	-	-		
Miuvig	propagation		-	-	-		
MigsBa	reassembly_bin		-	-	-		
MigsEu	reassembly_bin		-	-	-		
MigsOrg	reassembly_bin		-	-	-		
MigsPl	reassembly_bin		-	-	-		
MigsVi	reassembly_bin		-	-	-		
Mimag	reassembly_bin		X	O	O		
MimarksC	reassembly_bin		-	-	-		
MimarksS	reassembly_bin		-	-	-		
Mims	reassembly_bin		-	-	-		
Misag	reassembly_bin		-	-	-		
Miuvig	reassembly_bin		C	EM		TRUE	
MigsBa	ref_biomaterial		M	M	M		
MigsEu	ref_biomaterial		X	O	O		
MigsOrg	ref_biomaterial		X	O	O		
MigsPl	ref_biomaterial		X	O	O		
MigsVi	ref_biomaterial		X	O	O		
Mimag	ref_biomaterial		X	O	O		
MimarksC	ref_biomaterial		-	-	-		
MimarksS	ref_biomaterial		-	-	-		
Mims	ref_biomaterial		X	O	O		
Misag	ref_biomaterial		X	O	O		
Miuvig	ref_biomaterial		X	O	O		
MigsBa	ref_db		X	O	O		
MigsEu	ref_db		X	O	O		
MigsOrg	ref_db		X	O	O		
MigsPl	ref_db		X	O	O		
MigsVi	ref_db		X	O	O		
Mimag	ref_db		X	O	O		
MimarksC	ref_db		-	-	-		
MimarksS	ref_db		-	-	-		
Mims	ref_db		X	O	O		
Misag	ref_db		X	O	O		
Miuvig	ref_db		C	EM		TRUE	
MigsBa	rel_to_oxygen		C	EM		TRUE	
MigsEu	rel_to_oxygen		-	-	-		
MigsOrg	rel_to_oxygen		-	-	-		
MigsPl	rel_to_oxygen		-	-	-		
MigsVi	rel_to_oxygen		-	-	-		
Mimag	rel_to_oxygen		X	O	O		
MimarksC	rel_to_oxygen		C	EM		TRUE	
MimarksS	rel_to_oxygen		X	O	O		
Mims	rel_to_oxygen		X	O	O		
Misag	rel_to_oxygen		X	O	O		
Miuvig	rel_to_oxygen		-	-	-		
MigsBa	samp_collec_device		X	O	O		
MigsEu	samp_collec_device		X	O	O		
MigsOrg	samp_collec_device		X	O	O		
MigsPl	samp_collec_device		X	O	O		
MigsVi	samp_collec_device		X	O	O		
Mimag	samp_collec_device		C	EM		TRUE	
MimarksC	samp_collec_device		X	O	O		
MimarksS	samp_collec_device		C	EM		TRUE	
Mims	samp_collec_device		C	EM		TRUE	
Misag	samp_collec_device		C	EM		TRUE	
Miuvig	samp_collec_device		C	EM		TRUE	
MigsBa	samp_collec_method		X	O	O		
MigsEu	samp_collec_method		X	O	O		
MigsOrg	samp_collec_method		X	O	O		
MigsPl	samp_collec_method		X	O	O		
MigsVi	samp_collec_method		X	O	O		
Mimag	samp_collec_method		C	EM		TRUE	
MimarksC	samp_collec_method		X	O	O		
MimarksS	samp_collec_method		C	EM		TRUE	
Mims	samp_collec_method		C	EM		TRUE	
Misag	samp_collec_method		C	EM		TRUE	
Miuvig	samp_collec_method		C	EM		TRUE	
MigsBa	samp_mat_process		X	O	O		
MigsEu	samp_mat_process		X	O	O		
MigsOrg	samp_mat_process		X	O	O		
MigsPl	samp_mat_process		X	O	O		
MigsVi	samp_mat_process		X	O	O		
Mimag	samp_mat_process		C	EM		TRUE	
MimarksC	samp_mat_process		C	EM		TRUE	
MimarksS	samp_mat_process		C	EM		TRUE	
Mims	samp_mat_process		C	EM		TRUE	
Misag	samp_mat_process		C	EM		TRUE	
Miuvig	samp_mat_process		C	EM		TRUE	
MigsBa	samp_name		M	M	M		
MigsEu	samp_name		M	M	M		
MigsOrg	samp_name		M	M	M		
MigsPl	samp_name		M	M	M		
MigsVi	samp_name		M	M	M		
Mimag	samp_name		M	M	M		
MimarksC	samp_name		M	M	M		
MimarksS	samp_name		M	M	M		
Mims	samp_name		M	M	M		
Misag	samp_name		M	M	M		
Miuvig	samp_name		M	M	M		
MigsBa	samp_size		X	O	O		
MigsEu	samp_size		X	O	O		
MigsOrg	samp_size		X	O	O		
MigsPl	samp_size		X	O	O		
MigsVi	samp_size		X	O	O		
Mimag	samp_size		C	EM		TRUE	
MimarksC	samp_size		X	O	O		
MimarksS	samp_size		C	EM		TRUE	
Mims	samp_size		C	EM		TRUE	
Misag	samp_size		C	EM		TRUE	
Miuvig	samp_size		C	EM		TRUE	
MigsBa	samp_taxon_id		M	M	M		
MigsEu	samp_taxon_id		M	M	M		
MigsOrg	samp_taxon_id		M	M	M		
MigsPl	samp_taxon_id		M	M	M		
MigsVi	samp_taxon_id		M	M	M		
Mimag	samp_taxon_id		M	M	M		
MimarksC	samp_taxon_id		M	M	M		
MimarksS	samp_taxon_id		M	M	M		
Mims	samp_taxon_id		M	M	M		
Misag	samp_taxon_id		M	M	M		
Miuvig	samp_taxon_id		M	M	M		
MigsBa	samp_vol_we_dna_ext		X	O	O		
MigsEu	samp_vol_we_dna_ext		X	O	O		
MigsOrg	samp_vol_we_dna_ext		X	O	O		
MigsPl	samp_vol_we_dna_ext		X	O	O		
MigsVi	samp_vol_we_dna_ext		X	O	O		
Mimag	samp_vol_we_dna_ext		X	O	O		
MimarksC	samp_vol_we_dna_ext		X	O	O		
MimarksS	samp_vol_we_dna_ext		X	O	O		
Mims	samp_vol_we_dna_ext		X	O	O		
Misag	samp_vol_we_dna_ext		X	O	O		
Miuvig	samp_vol_we_dna_ext		X	O	O		
MigsBa	seq_meth		M	M	M		
MigsEu	seq_meth		M	M	M		
MigsOrg	seq_meth		M	M	M		
MigsPl	seq_meth		M	M	M		
MigsVi	seq_meth		M	M	M		
Mimag	seq_meth		M	M	M		
MimarksC	seq_meth		M	M	M		
MimarksS	seq_meth		M	M	M		
Mims	seq_meth		M	M	M		
Misag	seq_meth		M	M	M		
Miuvig	seq_meth		M	M	M		
MigsBa	seq_quality_check		-	-	-		
MigsEu	seq_quality_check		-	-	-		
MigsOrg	seq_quality_check		-	-	-		
MigsPl	seq_quality_check		-	-	-		
MigsVi	seq_quality_check		-	-	-		
Mimag	seq_quality_check		-	-	-		
MimarksC	seq_quality_check		C	EM		TRUE	
MimarksS	seq_quality_check		C	EM		TRUE	
Mims	seq_quality_check		-	-	-		
Misag	seq_quality_check		-	-	-		
Miuvig	seq_quality_check		-	-	-		
MigsBa	sim_search_meth		X	O	O		
MigsEu	sim_search_meth		X	O	O		
MigsOrg	sim_search_meth		X	O	O		
MigsPl	sim_search_meth		X	O	O		
MigsVi	sim_search_meth		X	O	O		
Mimag	sim_search_meth		X	O	O		
MimarksC	sim_search_meth		-	-	-		
MimarksS	sim_search_meth		-	-	-		
Mims	sim_search_meth		X	O	O		
Misag	sim_search_meth		X	O	O		
Miuvig	sim_search_meth		C	EM		TRUE	
MigsBa	single_cell_lysis_appr		-	-	-		
MigsEu	single_cell_lysis_appr		-	-	-		
MigsOrg	single_cell_lysis_appr		-	-	-		
MigsPl	single_cell_lysis_appr		-	-	-		
MigsVi	single_cell_lysis_appr		-	-	-		
Mimag	single_cell_lysis_appr		-	-	-		
MimarksC	single_cell_lysis_appr		-	-	-		
MimarksS	single_cell_lysis_appr		-	-	-		
Mims	single_cell_lysis_appr		-	-	-		
Misag	single_cell_lysis_appr		M	M	M		
Miuvig	single_cell_lysis_appr		C	EM		TRUE	
MigsBa	single_cell_lysis_prot		-	-	-		
MigsEu	single_cell_lysis_prot		-	-	-		
MigsOrg	single_cell_lysis_prot		-	-	-		
MigsPl	single_cell_lysis_prot		-	-	-		
MigsVi	single_cell_lysis_prot		-	-	-		
Mimag	single_cell_lysis_prot		-	-	-		
MimarksC	single_cell_lysis_prot		-	-	-		
MimarksS	single_cell_lysis_prot		-	-	-		
Mims	single_cell_lysis_prot		-	-	-		
Misag	single_cell_lysis_prot		X	O	O		
Miuvig	single_cell_lysis_prot		C	EM		TRUE	
MigsBa	size_frac		-	-	-		
MigsEu	size_frac		-	-	-		
MigsOrg	size_frac		-	-	-		
MigsPl	size_frac		-	-	-		
MigsVi	size_frac		-	-	-		
Mimag	size_frac		X	O	O		
MimarksC	size_frac		-	-	-		
MimarksS	size_frac		X	O	O		
Mims	size_frac		X	O	O		
Misag	size_frac		X	O	O		
Miuvig	size_frac		C	EM		TRUE	
MigsBa	sop		C	EM		TRUE	
MigsEu	sop		C	EM		TRUE	
MigsOrg	sop		C	EM		TRUE	
MigsPl	sop		C	EM		TRUE	
MigsVi	sop		C	EM		TRUE	
Mimag	sop		C	EM		TRUE	
MimarksC	sop		C	EM		TRUE	
MimarksS	sop		C	EM		TRUE	
Mims	sop		C	EM		TRUE	
Misag	sop		C	EM		TRUE	
Miuvig	sop		C	EM		TRUE	
MigsBa	sort_tech		-	-	-		
MigsEu	sort_tech		-	-	-		
MigsOrg	sort_tech		-	-	-		
MigsPl	sort_tech		-	-	-		
MigsVi	sort_tech		-	-	-		
Mimag	sort_tech		-	-	-		
MimarksC	sort_tech		-	-	-		
MimarksS	sort_tech		-	-	-		
Mims	sort_tech		-	-	-		
Misag	sort_tech		M	M	M		
Miuvig	sort_tech		C	EM		TRUE	
MigsBa	source_mat_id		C	EM		TRUE	
MigsEu	source_mat_id		C	EM		TRUE	
MigsOrg	source_mat_id		C	EM		TRUE	
MigsPl	source_mat_id		C	EM		TRUE	
MigsVi	source_mat_id		C	EM		TRUE	
Mimag	source_mat_id		C	EM		TRUE	
MimarksC	source_mat_id		C	EM		TRUE	
MimarksS	source_mat_id		C	EM		TRUE	
Mims	source_mat_id		C	EM		TRUE	
Misag	source_mat_id		C	EM		TRUE	
Miuvig	source_mat_id		C	EM		TRUE	
MigsBa	source_uvig		-	-	-		
MigsEu	source_uvig		-	-	-		
MigsOrg	source_uvig		-	-	-		
MigsPl	source_uvig		-	-	-		
MigsVi	source_uvig		-	-	-		
Mimag	source_uvig		-	-	-		
MimarksC	source_uvig		-	-	-		
MimarksS	source_uvig		-	-	-		
Mims	source_uvig		-	-	-		
Misag	source_uvig		-	-	-		
Miuvig	source_uvig		M	M	M		
MigsBa	specific_host		C	EM		TRUE	
MigsEu	specific_host		X	O	O		
MigsOrg	specific_host		-	-	-		
MigsPl	specific_host		C	EM		TRUE	
MigsVi	specific_host		C	EM		TRUE	
Mimag	specific_host		-	-	-		
MimarksC	specific_host		-	-	-		
MimarksS	specific_host		-	-	-		
Mims	specific_host		-	-	-		
Misag	specific_host		-	-	-		
Miuvig	specific_host		X	O	O		
MigsBa	subspecf_gen_lin		C	EM		TRUE	
MigsEu	subspecf_gen_lin		C	EM		TRUE	
MigsOrg	subspecf_gen_lin		C	EM		TRUE	
MigsPl	subspecf_gen_lin		C	EM		TRUE	
MigsVi	subspecf_gen_lin		C	EM		TRUE	
Mimag	subspecf_gen_lin		-	-	-		
MimarksC	subspecf_gen_lin		C	EM		TRUE	
MimarksS	subspecf_gen_lin		-	-	-		
Mims	subspecf_gen_lin		-	-	-		
Misag	subspecf_gen_lin		-	-	-		
Miuvig	subspecf_gen_lin		-	-	-		
MigsBa	target_gene		-	-	-		
MigsEu	target_gene		-	-	-		
MigsOrg	target_gene		-	-	-		
MigsPl	target_gene		-	-	-		
MigsVi	target_gene		-	-	-		
Mimag	target_gene		-	-	-		
MimarksC	target_gene		M	M	M		
MimarksS	target_gene		M	M	M		
Mims	target_gene		-	-	-		
Misag	target_gene		-	-	-		
Miuvig	target_gene		-	-	-		
MigsBa	target_subfragment		-	-	-		
MigsEu	target_subfragment		-	-	-		
MigsOrg	target_subfragment		-	-	-		
MigsPl	target_subfragment		-	-	-		
MigsVi	target_subfragment		-	-	-		
Mimag	target_subfragment		-	-	-		
MimarksC	target_subfragment		C	EM		TRUE	
MimarksS	target_subfragment		C	EM		TRUE	
Mims	target_subfragment		-	-	-		
Misag	target_subfragment		-	-	-		
Miuvig	target_subfragment		-	-	-		
MigsBa	tax_class		X	O	O		
MigsEu	tax_class		X	O	O		
MigsOrg	tax_class		X	O	O		
MigsPl	tax_class		X	O	O		
MigsVi	tax_class		X	O	O		
Mimag	tax_class		X	O	O		
MimarksC	tax_class		-	-	-		
MimarksS	tax_class		-	-	-		
Mims	tax_class		X	O	O		
Misag	tax_class		X	O	O		
Miuvig	tax_class		C	EM		TRUE	
MigsBa	tax_ident		C	EM		TRUE	
MigsEu	tax_ident		C	EM		TRUE	
MigsOrg	tax_ident		C	EM		TRUE	
MigsPl	tax_ident		C	EM		TRUE	
MigsVi	tax_ident		C	EM		TRUE	
Mimag	tax_ident		M	M	M		
MimarksC	tax_ident		-	-	-		
MimarksS	tax_ident		-	-	-		
Mims	tax_ident		-	-	-		
Misag	tax_ident		M	M	M		
Miuvig	tax_ident		X	O	O		
MigsBa	temp		E	E+		TRUE	
MigsEu	temp		E	E+		TRUE	
MigsOrg	temp		E	E+		TRUE	
MigsPl	temp		E	E+		TRUE	
MigsVi	temp		E	E+		TRUE	
Mimag	temp		E	E+		TRUE	
MimarksC	temp		E	E+		TRUE	
MimarksS	temp		E	E+		TRUE	
Mims	temp		E	E+		TRUE	
Misag	temp		E	E+		TRUE	
Miuvig	temp		E	E+		TRUE	
MigsBa	trna_ext_software		-	-	-		
MigsEu	trna_ext_software		-	-	-		
MigsOrg	trna_ext_software		-	-	-		
MigsPl	trna_ext_software		-	-	-		
MigsVi	trna_ext_software		-	-	-		
Mimag	trna_ext_software		X	O	O		
MimarksC	trna_ext_software		-	-	-		
MimarksS	trna_ext_software		-	-	-		
Mims	trna_ext_software		-	-	-		
Misag	trna_ext_software		X	O	O		
Miuvig	trna_ext_software		X	O	O		
MigsBa	trnas		-	-	-		
MigsEu	trnas		-	-	-		
MigsOrg	trnas		-	-	-		
MigsPl	trnas		-	-	-		
MigsVi	trnas		-	-	-		
Mimag	trnas		X	O	O		
MimarksC	trnas		-	-	-		
MimarksS	trnas		-	-	-		
Mims	trnas		-	-	-		
Misag	trnas		X	O	O		
Miuvig	trnas		X	O	O		
MigsBa	trophic_level		C	EM		TRUE	
MigsEu	trophic_level		C	EM		TRUE	
MigsOrg	trophic_level		-	-	-		
MigsPl	trophic_level		-	-	-		
MigsVi	trophic_level		-	-	-		
Mimag	trophic_level		-	-	-		
MimarksC	trophic_level		C	EM		TRUE	
MimarksS	trophic_level		-	-	-		
Mims	trophic_level		-	-	-		
Misag	trophic_level		-	-	-		
Miuvig	trophic_level		-	-	-		
MigsBa	vir_ident_software		-	-	-		
MigsEu	vir_ident_software		-	-	-		
MigsOrg	vir_ident_software		-	-	-		
MigsPl	vir_ident_software		-	-	-		
MigsVi	vir_ident_software		-	-	-		
Mimag	vir_ident_software		-	-	-		
MimarksC	vir_ident_software		-	-	-		
MimarksS	vir_ident_software		-	-	-		
Mims	vir_ident_software		-	-	-		
Misag	vir_ident_software		-	-	-		
Miuvig	vir_ident_software		M	M	M		
MigsBa	virus_enrich_appr		-	-	-		
MigsEu	virus_enrich_appr		-	-	-		
MigsOrg	virus_enrich_appr		-	-	-		
MigsPl	virus_enrich_appr		-	-	-		
MigsVi	virus_enrich_appr		C	EM		TRUE	
Mimag	virus_enrich_appr		-	-	-		
MimarksC	virus_enrich_appr		-	-	-		
MimarksS	virus_enrich_appr		-	-	-		
Mims	virus_enrich_appr		-	-	-		
Misag	virus_enrich_appr		-	-	-		
Miuvig	virus_enrich_appr		M	M	M		
MigsBa	wga_amp_appr		-	-	-		
MigsEu	wga_amp_appr		-	-	-		
MigsOrg	wga_amp_appr		-	-	-		
MigsPl	wga_amp_appr		-	-	-		
MigsVi	wga_amp_appr		-	-	-		
Mimag	wga_amp_appr		-	-	-		
MimarksC	wga_amp_appr		-	-	-		
MimarksS	wga_amp_appr		-	-	-		
Mims	wga_amp_appr		-	-	-		
Misag	wga_amp_appr		M	M	M		
Miuvig	wga_amp_appr		C	EM		TRUE	
MigsBa	wga_amp_kit		-	-	-		
MigsEu	wga_amp_kit		-	-	-		
MigsOrg	wga_amp_kit		-	-	-		
MigsPl	wga_amp_kit		-	-	-		
MigsVi	wga_amp_kit		-	-	-		
Mimag	wga_amp_kit		-	-	-		
MimarksC	wga_amp_kit		-	-	-		
MimarksS	wga_amp_kit		-	-	-		
Mims	wga_amp_kit		-	-	-		
Misag	wga_amp_kit		X	O	O		
Miuvig	wga_amp_kit		C	EM		TRUE	
